Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Keith Tandy,TAM,1,0,0,-2,1,0.0,5,4,1,0,0,0,0,0,0
Lavonte David,TAM,1,15,1,15,2,0.0,3,2,1,0,0,0,0,0,0
Robert Ayers,TAM,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
Gerald McCoy,TAM,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Kwon Alexander,TAM,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Vernon Hargreaves III,TAM,0,0,0,0,1,0.0,7,6,1,0,0,0,0,0,0
William Gholston,TAM,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Bradley McDougald,TAM,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Clinton McDonald,TAM,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Brent Grimes,TAM,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Akeem Spence,TAM,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Alterraun Verner,TAM,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Peyton Barber,TAM,0,,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Daryl Smith,TAM,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Noah Spence,TAM,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Casey Hayward,SDG,1,2,0,2,1,0.0,0,0,0,0,0,0,0,0,0
Joey Bosa,SDG,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
Jahleel Addae,SDG,0,0,0,0,0,0.0,10,8,2,0,0,0,0,0,0
Korey Toomer,SDG,0,0,0,0,0,0.0,10,8,2,0,0,0,0,0,0
Denzel Perryman,SDG,0,0,0,0,0,0.0,9,9,0,0,0,0,0,0,0
Kyle Emanuel,SDG,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Corey Liuget,SDG,0,0,0,0,0,0.0,5,4,1,2,0,0,0,0,0
Craig Mager,SDG,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Adrian Phillips,SDG,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Melvin Ingram,SDG,0,0,0,0,0,0.0,3,1,2,0,2,0,0,0,0
Darrell Stuckey,SDG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Trevor Williams,SDG,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Chris Landrum,SDG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tenny Palepoi,SDG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Darius Philon,SDG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Tourek Williams,SDG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ryan Carrethers,SDG,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Dwight Lowery,SDG,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
