Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Telvin Smith,JAX,1,0,0,0,2,0.0,9,8,1,0,0,0,0,0,0
Malik Jackson,JAX,0,0,0,0,0,2.0,2,2,0,2,4,0,0,0,0
Yannick Ngakoue,JAX,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Sen'Derrick Marks,JAX,0,0,0,0,0,0.5,2,1,1,0,2,1,0,0,0
Dante Fowler,JAX,0,0,0,0,1,0.5,1,0,1,0,2,0,0,0,0
Johnathan Cyprien,JAX,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
Tashaun Gipson,JAX,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Paul Posluszny,JAX,0,0,0,0,1,0.0,6,3,3,1,0,0,0,0,0
Prince Amukamara,JAX,0,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0
Jalen Ramsey,JAX,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Josh Johnson,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Abry Jones,JAX,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Davon House,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tyson Alualu,JAX,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Sheldon Day,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dan Skuta,JAX,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Myles Jack,JAX,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Erik Walden,IND,0,0,0,0,0,1.0,5,2,3,0,1,0,0,0,1
Robert Mathis,IND,0,0,0,0,0,1.0,3,3,0,0,0,1,0,0,1
Darryl Morris,IND,0,0,0,0,0,0.0,8,5,3,0,1,0,0,0,0
Antonio Morrison,IND,0,,0,0,0,0.0,8,4,4,1,0,0,0,0,0
Mike Adams,IND,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Edwin Jackson,IND,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
David Parry,IND,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0
Vontae Davis,IND,0,0,0,0,3,0.0,4,3,1,0,0,0,0,0,0
Christopher Milton,IND,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Henry Anderson,IND,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
T.J. Green,IND,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Zach Kerr,IND,0,0,0,0,0,0.0,3,0,3,0,0,1,0,0,0
Akeem Ayers,IND,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Chris Carter,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Trent Cole,IND,0,0,0,0,0,0.0,2,0,2,0,2,0,0,0,0
Matthias Farley,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Charles James,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
T.Y. McGill,IND,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0
Josh McNary,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Matt Overton,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Hassan Ridgeway,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
