Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Marcus Mariota,TEN,25,33,238,2,1,3,14,32,102.8,2,11,0,6,0,0,0,0,,1,0
DeMarco Murray,TEN,0,0,0,0,0,0,0,,,12,89,0,67,7,7,56,0,22,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,,,9,40,0,9,1,1,9,0,9,0,0
Delanie Walker,TEN,0,0,0,0,0,0,0,,,0,0,0,,6,6,83,1,32,0,0
Rishard Matthews,TEN,0,0,0,0,0,0,0,,,0,0,0,,6,4,40,0,20,0,0
Tajae Sharpe,TEN,0,0,0,0,0,0,0,,,0,0,0,,7,4,33,0,12,0,0
Andre Johnson,TEN,0,0,0,0,0,0,0,,,0,0,0,,1,1,9,1,9,0,0
Phillip Supernaw,TEN,0,0,0,0,0,0,0,,,0,0,0,,1,1,7,0,7,0,0
Anthony Fasano,TEN,0,0,0,0,0,0,0,,,0,0,0,,3,1,1,0,1,0,0
Matt Cassel,TEN,0,0,0,0,0,0,0,,,1,-1,0,-1,0,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,22,40,260,1,1,4,22,47,72.9,2,31,0,24,0,0,0,0,,0,0
Ameer Abdullah,DET,0,0,0,0,0,0,0,,,6,38,0,24,0,0,0,0,,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,,,11,37,0,10,5,4,28,0,12,0,0
Dwayne Washington,DET,0,0,0,0,0,0,0,,,4,31,0,28,0,0,0,0,,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,,,0,0,0,,11,8,118,0,47,0,0
Eric Ebron,DET,0,0,0,0,0,0,0,,,0,0,0,,7,4,53,0,29,0,0
Anquan Boldin,DET,0,0,0,0,0,0,0,,,0,0,0,,7,4,48,1,24,0,0
Golden Tate,DET,0,0,0,0,0,0,0,,,0,0,0,,9,2,13,0,8,0,0
