Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Carson Palmer pass complete short middle to John Brown for 3 yards (tackle by T.J. McDonald),0.610,0.470
1,14:24,2,7,ARI 28,0,0,David Johnson right end for -2 yards (tackle by Aaron Donald),0.470,-0.490
1,13:39,3,9,ARI 26,0,0,Carson Palmer pass incomplete deep middle intended for Michael Floyd (defended by Trumaine Johnson). Penalty on Jared Veldheer: Offensive Holding (Declined),-0.490,-1.630
1,13:32,4,9,ARI 26,0,0,"Ryan Quigley punts 37 yards, fair catch by Tavon Austin",-1.630,-1.400
1,13:23,1,10,LAR 37,0,0,Todd Gurley right tackle for 3 yards (tackle by Deone Bucannon),1.400,1.260
1,12:46,2,7,LAR 40,0,0,Case Keenum pass complete short right to Kenny Britt for 6 yards (tackle by Marcus Cooper),1.260,1.360
1,12:07,3,1,LAR 46,0,0,Todd Gurley right tackle for -1 yards (tackle by Tony Jefferson),1.360,-0.390
1,11:32,4,2,LAR 45,0,0,"Johnny Hekker punts 41 yards, out of bounds",-0.390,0.280
1,11:22,1,10,ARI 14,0,0,David Johnson left end for 3 yards (tackle by Troy Hill),-0.280,-0.370
1,10:50,2,7,ARI 17,0,0,Carson Palmer pass complete short left to John Brown for 14 yards (tackle by Troy Hill),-0.370,1.000
1,10:19,1,10,ARI 31,0,0,David Johnson right tackle for 10 yards (tackle by Alec Ogletree and Eugene Sims),1.000,1.660
1,9:39,1,10,ARI 41,0,0,Carson Palmer pass complete short right to John Brown for 8 yards (tackle by Trumaine Johnson),1.660,2.200
1,9:04,2,2,ARI 49,0,0,David Johnson middle for 8 yards (tackle by Cody Davis),2.200,2.720
1,8:24,1,10,LAR 43,0,0,David Johnson middle for 6 yards (tackle by Alec Ogletree),2.720,2.990
1,7:46,2,4,LAR 37,0,0,David Johnson middle for 3 yards (tackle by Alec Ogletree and Troy Hill),2.990,2.680
1,7:10,3,1,LAR 34,0,0,David Johnson middle for 2 yards (tackle by Aaron Donald),2.680,3.450
1,6:27,1,10,LAR 32,0,0,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald,3.450,2.900
1,6:21,2,10,LAR 32,0,0,Carson Palmer sacked by Maurice Alexander for -9 yards,2.900,1.030
1,5:42,3,19,LAR 41,0,0,Carson Palmer pass incomplete short right intended for Jaron Brown (defended by Trumaine Johnson),1.030,0.530
1,5:36,4,19,LAR 41,0,0,"Ryan Quigley punts 41 yards, touchback. Penalty on Troy Hill: Offensive Holding, 10 yards",0.530,0.380
1,5:27,1,10,LAR 10,0,0,Todd Gurley middle for 2 yards (tackle by Chandler Jones),-0.380,-0.630
1,4:50,2,8,LAR 12,0,0,Case Keenum pass complete short middle to Lance Kendricks for 10 yards (tackle by Tony Jefferson),-0.630,0.410
1,4:12,1,10,LAR 22,0,0,Todd Gurley right end for 5 yards (tackle by Deone Bucannon),0.410,0.540
1,3:34,2,5,LAR 27,0,0,Case Keenum pass incomplete short right intended for Tavon Austin,0.540,-0.160
1,3:28,3,5,LAR 27,0,0,"Case Keenum sacked by Deone Bucannon for -3 yards. Penalty on Patrick Peterson: Defensive Holding, 5 yards (no play)",-0.160,1.070
1,2:57,1,10,LAR 32,0,0,Todd Gurley right tackle for 3 yards (tackle by Corey Peters),1.070,0.930
1,2:15,2,7,LAR 35,0,0,Case Keenum pass incomplete short middle intended for Tavon Austin,0.930,0.230
1,2:11,3,7,LAR 35,6,0,"Case Keenum pass complete short right to Brian Quick for 65 yards, touchdown",0.230,7.000
1,2:11,,,ARI 35,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,2:11,,,LAR 35,7,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,1:59,1,10,ARI 25,7,0,Carson Palmer pass incomplete short left intended for John Brown,0.610,0.060
1,1:53,2,10,ARI 25,7,0,Carson Palmer pass complete short left to Larry Fitzgerald for 12 yards (tackle by Lamarcus Joyner),0.060,1.400
1,1:17,1,10,ARI 37,7,0,Chris Johnson middle for no gain (tackle by Mark Barron),1.400,0.860
1,0:40,2,10,ARI 37,7,0,Carson Palmer pass incomplete deep right intended for Jaron Brown,0.860,0.170
1,0:34,3,10,ARI 37,7,0,Carson Palmer pass complete short left to Larry Fitzgerald for 10 yards (tackle by Troy Hill),0.170,2.060
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 47,7,0,Chris Johnson right tackle for 8 yards (tackle by Eugene Sims),2.060,2.600
