Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Donald Stephenson,T,64,100%,0,0%,5,17%
Matt Paradis,C,64,100%,0,0%,5,17%
Michael Schofield,T,64,100%,0,0%,5,17%
Russell Okung,T,64,100%,0,0%,5,17%
Max Garcia,G,64,100%,0,0%,5,17%
Trevor Siemian,QB,64,100%,0,0%,0,0%
Emmanuel Sanders,WR,52,81%,0,0%,0,0%
Demaryius Thomas,WR,48,75%,0,0%,0,0%
Virgil Green,TE,39,61%,0,0%,5,17%
Devontae Booker,RB,35,55%,0,0%,0,0%
Andy Janovich,FB,31,48%,0,0%,20,67%
C.J. Anderson,RB,29,45%,0,0%,0,0%
Jeff Heuerman,TE,22,34%,0,0%,0,0%
Jordan Norwood,WR,18,28%,0,0%,9,30%
Jordan Taylor,WR,16,25%,0,0%,10,33%
Bennie Fowler,WR,15,23%,0,0%,14,47%
John Phillips,TE,12,19%,0,0%,9,30%
Ty Sambrailo,T,2,3%,0,0%,0,0%
James Ferentz,C,1,2%,0,0%,0,0%
T.J. Ward,SS,0,0%,70,100%,0,0%
Aqib Talib,CB,0,0%,69,99%,4,13%
Chris Harris Jr.,CB,0,0%,69,99%,0,0%
Von Miller,LB,0,0%,66,94%,0,0%
Jared Crick,DE,0,0%,62,89%,5,17%
Darian Stewart,FS,0,0%,61,87%,4,13%
Derek Wolfe,DE,0,0%,53,76%,3,10%
Brandon Marshall,LB,0,0%,49,70%,5,17%
Shane Ray,LB,0,0%,47,67%,0,0%
Todd Davis,LB,0,0%,45,64%,6,20%
Bradley Roby,CB,0,0%,39,56%,0,0%
Sylvester Williams,NT,0,0%,38,54%,5,17%
Shaquil Barrett,LB,0,0%,25,36%,19,63%
Will Parks,SS,0,0%,24,34%,25,83%
Corey Nelson,LB,0,0%,18,26%,20,67%
Billy Winn,DE,0,0%,18,26%,7,23%
Darius Kilgo,NT,0,0%,7,10%,0,0%
Justin Simmons,FS,0,0%,4,6%,21,70%
Adam Gotsis,DE,0,0%,3,4%,0,0%
Dekoda Watson,LB,0,0%,2,3%,23,77%
Kayvon Webster,CB,0,0%,1,1%,21,70%
Kapri Bibbs,RB,0,0%,0,0%,20,67%
Zaire Anderson,LB,0,0%,0,0%,17,57%
Riley Dixon,P,0,0%,0,0%,11,37%
Casey Kreiter,LS,0,0%,0,0%,11,37%
Brandon McManus,K,0,0%,0,0%,11,37%
