Quarter,Time,Down,ToGo,Location,NYG,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYG 25,0,0,Rashad Jennings right guard for 1 yard (tackle by Maurice Alexander),0.610,0.200
1,14:31,2,9,NYG 26,0,0,"Eli Manning pass complete short right to Larry Donnell for 8 yards (tackle by Lamarcus Joyner). Larry Donnell fumbles (forced by Lamarcus Joyner), recovered by E.J. Gaines at NYG-35 (tackle by Larry Donnell)",0.200,-3.250
1,14:25,1,10,NYG 35,0,0,Todd Gurley right guard for 2 yards (tackle by Jonathan Casillas),3.250,2.970
1,13:49,2,8,NYG 33,0,0,Case Keenum pass complete short middle to Lance Kendricks for 7 yards (tackle by Keenan Robinson),2.970,3.200
1,13:14,3,1,NYG 26,0,0,Todd Gurley right guard for 2 yards (tackle by Landon Collins),3.200,3.970
1,12:39,1,10,NYG 24,0,0,"Tavon Austin right end for 10 yards (tackle by Eli Apple). Tavon Austin fumbles (forced by Eli Apple), ball out of bounds at NYG-11",3.970,4.650
1,12:09,1,10,NYG 14,0,0,Todd Gurley left guard for 4 yards (tackle by Damon Harrison),4.650,4.710
1,11:24,2,6,NYG 10,0,0,Case Keenum pass incomplete short left intended for Tavon Austin (defended by Jonathan Casillas),4.710,3.820
1,11:21,3,6,NYG 10,0,6,"Case Keenum pass complete short middle to Tavon Austin for 10 yards, touchdown",3.820,7.000
1,11:21,,,NYG 10,0,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,11:21,,,LAR 35,0,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,11:15,1,10,NYG 25,0,7,Eli Manning pass complete short right to Sterling Shepard for 11 yards (tackle by T.J. McDonald),0.610,1.330
1,10:39,1,10,NYG 36,0,7,Rashad Jennings left guard for 3 yards (tackle by Ethan Westbrooks),1.330,1.200
1,10:04,2,7,NYG 39,0,7,Eli Manning pass incomplete short right intended for Victor Cruz,1.200,0.500
1,9:59,3,7,NYG 39,0,7,Eli Manning pass incomplete short right intended for Sterling Shepard,0.500,-0.780
1,9:54,4,7,NYG 39,0,7,"Brad Wing punts 61 yards, touchback",-0.780,-0.280
1,9:45,1,10,LAR 20,0,7,Case Keenum pass complete deep right to Brian Quick for 48 yards (tackle by Janoris Jenkins). Penalty on Janoris Jenkins: Illegal Contact (Declined),0.280,3.450
1,9:21,1,10,NYG 32,0,7,Todd Gurley right end for 6 yards (tackle by Devon Kennard),3.450,3.710
1,8:41,2,4,NYG 26,0,7,Benny Cunningham right tackle for 2 yards (tackle by Jonathan Casillas),3.710,3.270
1,8:03,3,2,NYG 24,0,7,Case Keenum pass complete short left to Tavon Austin for 7 yards (tackle by Eli Apple),3.270,4.440
1,7:26,1,10,NYG 17,0,7,Benny Cunningham left tackle for no gain (tackle by Olivier Vernon),4.440,3.850
1,6:46,2,10,NYG 17,0,7,Case Keenum pass complete short right to Todd Gurley for 2 yards (tackle by Landon Collins),3.850,3.340
1,6:01,3,8,NYG 15,0,7,Case Keenum sacked by Kerry Wynn and Jason Pierre-Paul for -3 yards,3.340,2.250
1,5:15,4,11,NYG 18,0,10,Greg Zuerlein 36 yard field goal good,2.250,3.000
1,5:15,,,LAR 35,0,10,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,5:13,1,10,NYG 25,0,10,Eli Manning pass complete short right to Will Tye for 9 yards (tackle by T.J. McDonald),0.610,1.280
1,4:37,2,1,NYG 34,0,10,Eli Manning pass complete short left to Odell Beckham for -6 yards (tackle by Troy Hill),1.280,-0.230
1,4:00,3,7,NYG 28,0,10,Eli Manning pass incomplete short right intended for Victor Cruz (defended by E.J. Gaines),-0.230,-1.500
1,3:53,4,7,NYG 28,0,10,"Brad Wing punts 48 yards, out of bounds",-1.500,-0.540
1,3:46,1,10,LAR 24,0,10,"Penalty on Greg Robinson: False Start, 5 yards (no play)",0.540,0.130
1,3:46,1,15,LAR 19,0,10,Todd Gurley right tackle for 4 yards (tackle by Owamagbe Odighizuwa),0.130,-0.140
1,3:03,2,11,LAR 23,0,10,Case Keenum pass complete short right to Tyler Higbee for 4 yards (tackle by Landon Collins),-0.140,-0.300
1,2:19,3,7,LAR 27,0,10,"Case Keenum pass incomplete short left intended for Brian Quick. Penalty on Eli Apple: Defensive Pass Interference, 13 yards (no play)",-0.300,1.600
