Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Matt Judon,BAL,0,0,0,0,0,2.0,3,2,1,2,2,0,0,0,0
Brandon Williams,BAL,0,0,0,0,0,1.0,8,5,3,2,1,0,0,0,0
Michael Pierce,BAL,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Timmy Jernigan,BAL,0,0,0,0,0,1.0,4,1,3,1,2,1,1,0,0
Zach Orr,BAL,0,0,0,0,0,0.0,12,7,5,1,0,0,0,0,0
Eric Weddle,BAL,0,0,0,0,0,0.0,10,3,7,0,0,0,0,0,0
Albert McClellan,BAL,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
Tavon Young,BAL,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Lawrence Guy,BAL,0,0,0,0,0,0.0,5,0,5,0,1,0,0,0,0
Kamalei Correa,BAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Za'Darius Smith,BAL,0,0,0,0,1,0.0,3,0,3,0,1,0,0,0,0
Kyle Juszczyk,BAL,0,,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jerraud Powers,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Lardarius Webb,BAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Marqueston Huff,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Patrick Onwuasor,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jimmy Smith,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brent Urban,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Darren Waller,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devin Hester,BAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Anthony Levine,BAL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
Chris Moore,BAL,0,,0,0,0,0.0,0,0,0,0,0,1,0,1,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Buster Skrine,NYJ,1,51,0,51,1,0.0,6,5,1,0,0,0,0,0,0
Marcus Gilchrist,NYJ,1,25,0,25,1,0.0,0,0,0,0,0,0,0,0,0
Sheldon Richardson,NYJ,0,0,0,0,0,1.0,7,6,1,3,2,0,0,0,0
Leonard Williams,NYJ,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
Julian Stanford,NYJ,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Calvin Pryor,NYJ,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
David Harris,NYJ,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Marcus Williams,NYJ,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Steve McLendon,NYJ,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Juston Burris,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bruce Carter,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kellen Davis,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1
Jarvis Jenkins,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Josh Martin,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Lorenzo Mauldin,NYJ,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Victor Ochi,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Charone Peake,NYJ,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Darrelle Revis,NYJ,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Brandon Marshall,NYJ,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0
