Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Larry Warford,G,61,100%,0,0%,4,15%
Travis Swanson,C,61,100%,0,0%,4,15%
Graham Glasgow,C,61,100%,0,0%,4,15%
Taylor Decker,T,61,100%,0,0%,4,15%
Matthew Stafford,QB,61,100%,0,0%,0,0%
Marvin Jones,WR,60,98%,0,0%,0,0%
Golden Tate,WR,54,89%,0,0%,0,0%
Theo Riddick,RB,52,85%,0,0%,0,0%
Riley Reiff,T,49,80%,0,0%,3,12%
Anquan Boldin,WR,49,80%,0,0%,0,0%
Eric Ebron,TE,49,80%,0,0%,0,0%
Khari Lee,TE,17,28%,0,0%,9,35%
Cornelius Lucas,T,14,23%,0,0%,4,15%
Zach Zenner,RB,9,15%,0,0%,9,35%
Michael Burton,FB,8,13%,0,0%,13,50%
Andre Roberts,WR,4,7%,0,0%,9,35%
Clay Harbor,TE,1,2%,0,0%,5,19%
Tahir Whitehead,LB,0,0%,67,100%,4,15%
Glover Quin,FS,0,0%,67,100%,4,15%
Nevin Lawson,CB,0,0%,66,99%,7,27%
Johnson Bademosi,CB,0,0%,49,73%,8,31%
Tavon Wilson,SS,0,0%,49,73%,5,19%
Ezekiel Ansah,DE,0,0%,48,72%,0,0%
Kerry Hyder,DE,0,0%,46,69%,1,4%
Devin Taylor,DE,0,0%,45,67%,2,8%
Josh Bynes,LB,0,0%,43,64%,10,38%
Rafael Bush,SS,0,0%,38,57%,13,50%
Quandre Diggs,CB,0,0%,31,46%,4,15%
Stefan Charles,DT,0,0%,27,40%,2,8%
Armonty Bryant,DE,0,0%,27,40%,0,0%
Tyrunn Walker,DT,0,0%,26,39%,4,15%
Khyri Thornton,DT,0,0%,26,39%,4,15%
A'Shawn Robinson,DT,0,0%,25,37%,3,12%
Brandon Copeland,DE,0,0%,18,27%,22,85%
Antwione Williams,LB,0,0%,17,25%,18,69%
Adairius Barnes,CB,0,0%,12,18%,13,50%
Miles Killebrew,SS,0,0%,9,13%,18,69%
Don Carey,FS,0,0%,1,1%,22,85%
Thurston Armbrister,LB,0,0%,0,0%,18,69%
Sam Martin,P,0,0%,0,0%,13,50%
Don Muhlbach,LS,0,0%,0,0%,9,35%
Joe Dahl,T,0,0%,0,0%,6,23%
Laken Tomlinson,G,0,0%,0,0%,4,15%
Matt Prater,K,0,0%,0,0%,4,15%
