Quarter,Time,Tm,Detail,SEA,NOR
1.0,7:53,Seahawks,Earl Thomas 34 yard defensive fumble return (Stephen Hauschka kick),7,0
2.0,11:33,Saints,Wil Lutz 22 yard field goal,7,3
,9:53,Seahawks,Christine Michael 2 yard rush (Stephen Hauschka kick),14,3
,5:15,Saints,Wil Lutz 53 yard field goal,14,6
,0:49,Saints,Drew Brees 1 yard rush (Wil Lutz kick),14,13
3.0,8:56,Seahawks,Stephen Hauschka 44 yard field goal,17,13
,3:14,Saints,Wil Lutz 21 yard field goal,17,16
4.0,12:24,Saints,Brandin Cooks 2 yard pass from Drew Brees (pass failed),17,22
,6:38,Seahawks,Stephen Hauschka 21 yard field goal,20,22
,1:57,Saints,Wil Lutz 41 yard field goal,20,25
