Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Isaac Seumalo,G,69,100%,0,0%,5,19%
Lane Johnson,T,69,100%,0,0%,5,19%
Brandon Brooks,G,69,100%,0,0%,5,19%
Jason Kelce,C,69,100%,0,0%,0,0%
Carson Wentz,QB,69,100%,0,0%,0,0%
Alshon Jeffery,WR,61,88%,0,0%,0,0%
Zach Ertz,TE,60,87%,0,0%,8,31%
Torrey Smith,WR,49,71%,0,0%,0,0%
Halapoulivaati Vaitai,T,46,67%,0,0%,5,19%
Nelson Agholor,WR,41,59%,0,0%,0,0%
Darren Sproles,RB,34,49%,0,0%,4,15%
Jason Peters,T,32,46%,0,0%,0,0%
Brent Celek,TE,26,38%,0,0%,9,35%
LeGarrette Blount,RB,23,33%,0,0%,0,0%
Wendell Smallwood,RB,16,23%,0,0%,8,31%
Trey Burton,TE,14,20%,0,0%,18,69%
Marcus Johnson,WR,7,10%,0,0%,5,19%
Mack Hollins,WR,5,7%,0,0%,6,23%
Malcolm Jenkins,SS,0,0%,63,100%,10,38%
Rodney McLeod,FS,0,0%,63,100%,7,27%
Jordan Hicks,LB,0,0%,63,100%,4,15%
Jalen Mills,CB,0,0%,63,100%,4,15%
Nigel Bradham,LB,0,0%,63,100%,1,4%
Patrick Robinson,CB,0,0%,52,83%,5,19%
Brandon Graham,DE,0,0%,43,68%,4,15%
Fletcher Cox,DT,0,0%,43,68%,1,4%
Timmy Jernigan,DT,0,0%,40,63%,4,15%
Vinny Curry,DE,0,0%,37,59%,3,12%
Derek Barnett,DE,0,0%,26,41%,4,15%
Chris Long,DE,0,0%,26,41%,1,4%
Beau Allen,DT,0,0%,25,40%,8,31%
Mychal Kendricks,LB,0,0%,23,37%,9,35%
Corey Graham,FS,0,0%,18,29%,13,50%
Ronald Darby,CB,0,0%,18,29%,2,8%
Jaylen Watkins,SS,0,0%,15,24%,17,65%
Destiny Vaeao,DT,0,0%,12,19%,2,8%
Chris Maragos,SS,0,0%,0,0%,20,77%
Kamu Grugier-Hill,LB,0,0%,0,0%,17,65%
Najee Goode,LB,0,0%,0,0%,17,65%
Corey Clement,RB,0,0%,0,0%,13,50%
Caleb Sturgis,K,0,0%,0,0%,11,42%
Rick Lovato,LS,0,0%,0,0%,9,35%
Donnie Jones,P,0,0%,0,0%,9,35%
Joe Walker,LB,0,0%,0,0%,8,31%
Stefen Wisniewski,C,0,0%,0,0%,5,19%
