Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Rob Havenstein,T,58,100%,0,0%,7,23%
Andrew Whitworth,T,58,100%,0,0%,7,23%
Jamon Brown,G,58,100%,0,0%,7,23%
Rodger Saffold,G,58,100%,0,0%,7,23%
Jared Goff,QB,58,100%,0,0%,0,0%
Sammy Watkins,WR,58,100%,0,0%,0,0%
John Sullivan,C,58,100%,0,0%,0,0%
Todd Gurley,RB,55,95%,0,0%,0,0%
Cooper Kupp,WR,51,88%,0,0%,0,0%
Josh Reynolds,WR,42,72%,0,0%,0,0%
Tyler Higbee,TE,38,66%,0,0%,12,39%
Gerald Everett,TE,18,31%,0,0%,5,16%
Tavon Austin,WR,11,19%,0,0%,0,0%
Pharoh Cooper,WR,10,17%,0,0%,14,45%
Derek Carrier,TE,6,10%,0,0%,19,61%
Mike Thomas,WR,1,2%,0,0%,19,61%
Trumaine Johnson,CB,0,0%,64,100%,1,3%
Kayvon Webster,CB,0,0%,63,98%,0,0%
Lamarcus Joyner,FS,0,0%,63,98%,0,0%
Mark Barron,LB,0,0%,57,89%,0,0%
John Johnson,SS,0,0%,54,84%,10,32%
Aaron Donald,DT,0,0%,54,84%,4,13%
Robert Quinn,LB,0,0%,50,78%,3,10%
Samson Ebukam,LB,0,0%,48,75%,4,13%
Bryce Hager,LB,0,0%,41,64%,14,45%
Michael Brockers,DT,0,0%,41,64%,4,13%
Nickell Robey-Coleman,CB,0,0%,38,59%,6,19%
Matt Longacre,LB,0,0%,30,47%,5,16%
Morgan Fox,DE,0,0%,23,36%,7,23%
Alec Ogletree,LB,0,0%,23,36%,0,0%
Ethan Westbrooks,DE,0,0%,22,34%,0,0%
Tyrunn Walker,DT,0,0%,14,22%,4,13%
Tanzel Smart,DT,0,0%,10,16%,0,0%
Troy Hill,CB,0,0%,7,11%,17,55%
Cory Littleton,LB,0,0%,1,2%,24,77%
Marqui Christian,SS,0,0%,1,2%,24,77%
Blake Countess,SS,0,0%,0,0%,22,71%
Dominique Hatfield,CB,0,0%,0,0%,20,65%
Carlos Thompson,LB,0,0%,0,0%,20,65%
Greg Zuerlein,K,0,0%,0,0%,14,45%
Johnny Hekker,P,0,0%,0,0%,11,35%
Jake McQuaide,LS,0,0%,0,0%,11,35%
Austin Blythe,C,0,0%,0,0%,7,23%
Darrell Williams,T,0,0%,0,0%,7,23%
Lance Dunbar,RB,0,0%,0,0%,5,16%
