Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Joel Bitonio,G,63,100%,0,0%,2,10%
Spencer Drango,G,63,100%,0,0%,2,10%
Shon Coleman,T,63,100%,0,0%,2,10%
Kevin Zeitler,G,63,100%,0,0%,2,10%
DeShone Kizer,QB,63,100%,0,0%,0,0%
J.C. Tretter,C,63,100%,0,0%,0,0%
Corey Coleman,WR,51,81%,0,0%,0,0%
Josh Gordon,WR,48,76%,0,0%,0,0%
Seth Devalve,TE,36,57%,0,0%,9,43%
Rashard Higgins,WR,36,57%,0,0%,0,0%
David Njoku,TE,34,54%,0,0%,6,29%
Duke Johnson,RB,34,54%,0,0%,2,10%
Isaiah Crowell,RB,32,51%,0,0%,0,0%
Ricardo Louis,WR,14,22%,0,0%,12,57%
Randall Telfer,TE,12,19%,0,0%,1,5%
Kenny Britt,WR,12,19%,0,0%,0,0%
Danny Vitale,FB,4,6%,0,0%,11,52%
Austin Reiter,C,1,2%,0,0%,2,10%
Zach Banner,T,1,2%,0,0%,2,10%
Jamar Taylor,CB,0,0%,70,100%,8,38%
Christian Kirksey,LB,0,0%,70,100%,7,33%
Joe Schobert,LB,0,0%,70,100%,7,33%
Jason McCourty,CB,0,0%,69,99%,2,10%
James Burgess,LB,0,0%,66,94%,7,33%
Jabrill Peppers,FS,0,0%,56,80%,5,24%
Myles Garrett,DE,0,0%,55,79%,7,33%
Trevon Coley,DT,0,0%,51,73%,7,33%
Briean Boddy-Calhoun,CB,0,0%,48,69%,8,38%
Carl Nassib,DE,0,0%,45,64%,8,38%
Derrick Kindred,SS,0,0%,42,60%,7,33%
Nate Orchard,DE,0,0%,31,44%,1,5%
Larry Ogunjobi,DT,0,0%,30,43%,6,29%
Danny Shelton,DT,0,0%,24,34%,0,0%
Caleb Brantley,DT,0,0%,18,26%,0,0%
Kai Nacua,SS,0,0%,14,20%,3,14%
B.J. Bello,LB,0,0%,5,7%,13,62%
Tyrone Holmes,DE,0,0%,5,7%,8,38%
Mike Jordan,CB,0,0%,1,1%,13,62%
Josh Keyes,LB,0,0%,0,0%,12,57%
Matthew Dayes,RB,0,0%,0,0%,12,57%
Deon King,LB,0,0%,0,0%,11,52%
Derron Smith,SS,0,0%,0,0%,11,52%
Charley Hughlett,LS,0,0%,0,0%,5,24%
Zane Gonzalez,K,0,0%,0,0%,5,24%
Britton Colquitt,P,0,0%,0,0%,5,24%
