Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Daryl Williams,T,71,100%,0,0%,5,19%
Matt Kalil,T,71,100%,0,0%,5,19%
Andrew Norwell,G,71,100%,0,0%,5,19%
Amini Silatolu,T,71,100%,0,0%,5,19%
Cam Newton,QB,71,100%,0,0%,0,0%
Ryan Kalil,C,71,100%,0,0%,0,0%
Greg Olsen,TE,69,97%,0,0%,1,4%
Devin Funchess,WR,60,85%,0,0%,1,4%
Christian McCaffrey,RB,49,69%,0,0%,1,4%
Damiere Byrd,WR,47,66%,0,0%,5,19%
Ed Dickson,TE,32,45%,0,0%,14,54%
Jonathan Stewart,RB,29,41%,0,0%,0,0%
Russell Shepard,WR,22,31%,0,0%,1,4%
Brenton Bersin,WR,17,24%,0,0%,5,19%
Chris Manhertz,TE,15,21%,0,0%,9,35%
Fozzy Whittaker,RB,7,10%,0,0%,14,54%
Kaelin Clay,WR,5,7%,0,0%,4,15%
Taylor Moton,T,3,4%,0,0%,5,19%
Daryl Worley,CB,0,0%,69,100%,6,23%
James Bradberry,CB,0,0%,69,100%,6,23%
Kurt Coleman,FS,0,0%,69,100%,6,23%
Luke Kuechly,LB,0,0%,69,100%,5,19%
Thomas Davis,LB,0,0%,69,100%,4,15%
Mike Adams,SS,0,0%,63,91%,4,15%
Kawann Short,DT,0,0%,48,70%,5,19%
Mario Addison,DE,0,0%,47,68%,1,4%
Star Lotulelei,DT,0,0%,43,62%,5,19%
Julius Peppers,DE,0,0%,37,54%,5,19%
Kevon Seymour,CB,0,0%,36,52%,8,31%
Wes Horton,DE,0,0%,30,43%,0,0%
Colin Jones,FS,0,0%,28,41%,6,23%
Bryan Cox Jr.,DE,0,0%,24,35%,11,42%
Vernon Butler,DT,0,0%,24,35%,4,15%
Kyle Love,DT,0,0%,22,32%,0,0%
Jairus Byrd,FS,0,0%,12,17%,7,27%
David Mayo,LB,0,0%,0,0%,21,81%
Spencer Paysinger,LB,0,0%,0,0%,16,62%
Ben Jacobs,LB,0,0%,0,0%,16,62%
Andrew Gachkar,LB,0,0%,0,0%,15,58%
Cameron Artis-Payne,RB,0,0%,0,0%,14,54%
Graham Gano,K,0,0%,0,0%,11,42%
Michael Palardy,P,0,0%,0,0%,9,35%
J.J. Jansen,LS,0,0%,0,0%,9,35%
Ladarius Gunter,CB,0,0%,0,0%,7,27%
Greg Van Roten,G,0,0%,0,0%,5,19%
