Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
David Bakhtiari,T,67,100%,0,0%,0,0%
Lane Taylor,G,67,100%,0,0%,0,0%
Justin McCray,G,67,100%,0,0%,0,0%
Corey Linsley,C,67,100%,0,0%,0,0%
Brett Hundley,QB,67,100%,0,0%,0,0%
Lucas Patrick,G,66,99%,0,0%,0,0%
Jamaal Williams,RB,62,93%,0,0%,0,0%
Randall Cobb,WR,61,91%,0,0%,0,0%
Lance Kendricks,TE,58,87%,0,0%,0,0%
Geronimo Allison,WR,53,79%,0,0%,13,57%
Michael Clark,WR,28,42%,0,0%,0,0%
Jordy Nelson,WR,27,40%,0,0%,0,0%
Trevor Davis,WR,16,24%,0,0%,18,78%
Jeff Janis,WR,12,18%,0,0%,19,83%
Aaron Ripkowski,FB,12,18%,0,0%,12,52%
Aaron Jones,RB,4,6%,0,0%,0,0%
Richard Rodgers,TE,2,3%,0,0%,3,13%
Jason Spriggs,T,1,1%,0,0%,0,0%
Ha Ha Clinton-Dix,FS,0,0%,65,100%,4,17%
Blake Martinez,LB,0,0%,65,100%,0,0%
Morgan Burnett,SS,0,0%,65,100%,0,0%
Jake Ryan,LB,0,0%,55,85%,18,78%
Josh Hawkins,CB,0,0%,53,82%,5,22%
Davon House,CB,0,0%,50,77%,0,0%
Reggie Gilbert,LB,0,0%,46,71%,5,22%
Kenny Clark,NT,0,0%,46,71%,4,17%
Mike Daniels,DT,0,0%,42,65%,4,17%
Kyler Fackrell,LB,0,0%,39,60%,20,87%
Dean Lowry,DE,0,0%,33,51%,4,17%
Jermaine Whitehead,FS,0,0%,31,48%,23,100%
Josh Jones,SS,0,0%,30,46%,0,0%
Lenzy Pipkins,CB,0,0%,19,29%,12,52%
Quinton Dial,NT,0,0%,19,29%,4,17%
Ahmad Brooks,LB,0,0%,19,29%,0,0%
Vince Biegel,LB,0,0%,16,25%,16,70%
Chris Odom,LB,0,0%,10,15%,0,0%
Montravius Adams,DT,0,0%,9,14%,0,0%
Marwin Evans,SS,0,0%,3,5%,23,100%
Donatello Brown,CB,0,0%,1,2%,7,30%
Joe Thomas,LB,0,0%,0,0%,19,83%
Devante Mays,RB,0,0%,0,0%,7,30%
Brett Goode,LS,0,0%,0,0%,6,26%
Justin Vogel,P,0,0%,0,0%,6,26%
Mason Crosby,K,0,0%,0,0%,1,4%
