Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Halapoulivaati Vaitai,T,59,100%,0,0%,0,0%
Stefen Wisniewski,G,51,86%,0,0%,0,0%
Mack Hollins,WR,44,75%,0,0%,3,15%
Chance Warmack,G,40,68%,0,0%,0,0%
Nate Sudfeld,QB,40,68%,0,0%,0,0%
Isaac Seumalo,G,40,68%,0,0%,0,0%
Will Beatty,T,40,68%,0,0%,0,0%
Marcus Johnson,WR,39,66%,0,0%,0,0%
Brent Celek,TE,35,59%,0,0%,2,10%
Nelson Agholor,WR,30,51%,0,0%,0,0%
Trey Burton,TE,28,47%,0,0%,15,75%
Jason Kelce,C,27,46%,0,0%,0,0%
Wendell Smallwood,RB,22,37%,0,0%,0,0%
LeGarrette Blount,RB,19,32%,0,0%,0,0%
Brandon Brooks,G,19,32%,0,0%,0,0%
Lane Johnson,T,19,32%,0,0%,0,0%
Nick Foles,QB,19,32%,0,0%,0,0%
Alshon Jeffery,WR,18,31%,0,0%,0,0%
Torrey Smith,WR,15,25%,0,0%,0,0%
Zach Ertz,TE,14,24%,0,0%,0,0%
Shelton Gibson,WR,13,22%,0,0%,12,60%
Corey Clement,RB,11,19%,0,0%,15,75%
Kenjon Barner,RB,7,12%,0,0%,9,45%
Rasul Douglas,CB,0,0%,68,100%,19,95%
Corey Graham,FS,0,0%,68,100%,11,55%
Jaylen Watkins,SS,0,0%,62,91%,11,55%
Najee Goode,LB,0,0%,59,87%,17,85%
Destiny Vaeao,DT,0,0%,56,82%,4,20%
Kamu Grugier-Hill,LB,0,0%,53,78%,18,90%
Dannell Ellerbe,LB,0,0%,48,71%,3,15%
Vinny Curry,DE,0,0%,43,63%,3,15%
Patrick Robinson,CB,0,0%,42,62%,4,20%
Chris Long,DE,0,0%,42,62%,3,15%
Beau Allen,DT,0,0%,41,60%,3,15%
Steven Means,DE,0,0%,39,57%,5,25%
Elijah Qualls,DT,0,0%,36,53%,3,15%
Sidney Jones,CB,0,0%,29,43%,7,35%
Nathan Gerry,LB,0,0%,20,29%,18,90%
Mychal Kendricks,LB,0,0%,15,22%,2,10%
Bryan Braman,LB,0,0%,12,18%,18,90%
Ronald Darby,CB,0,0%,6,9%,0,0%
Malcolm Jenkins,SS,0,0%,6,9%,0,0%
Fletcher Cox,DT,0,0%,3,4%,0,0%
Rick Lovato,LS,0,0%,0,0%,7,35%
Donnie Jones,P,0,0%,0,0%,7,35%
Jake Elliott,K,0,0%,0,0%,1,5%
