Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Kevin Zeitler,G,65,100%,0,0%,4,15%
Joel Bitonio,G,65,100%,0,0%,4,15%
Shon Coleman,T,65,100%,0,0%,4,15%
Spencer Drango,G,65,100%,0,0%,4,15%
J.C. Tretter,C,65,100%,0,0%,0,0%
DeShone Kizer,QB,65,100%,0,0%,0,0%
Josh Gordon,WR,54,83%,0,0%,0,0%
Corey Coleman,WR,52,80%,0,0%,0,0%
Rashard Higgins,WR,45,69%,0,0%,0,0%
Isaiah Crowell,RB,36,55%,0,0%,0,0%
Seth Devalve,TE,35,54%,0,0%,10,37%
Duke Johnson,RB,30,46%,0,0%,0,0%
David Njoku,TE,24,37%,0,0%,7,26%
Randall Telfer,TE,20,31%,0,0%,9,33%
Ricardo Louis,WR,11,17%,0,0%,17,63%
Marquez Williams,RB,10,15%,0,0%,0,0%
Sammie Coates,WR,8,12%,0,0%,12,44%
James Burgess,LB,0,0%,59,100%,16,59%
Joe Schobert,LB,0,0%,59,100%,11,41%
Christian Kirksey,LB,0,0%,59,100%,6,22%
Jason McCourty,CB,0,0%,56,95%,3,11%
Myles Garrett,DE,0,0%,52,88%,6,22%
Jabrill Peppers,FS,0,0%,50,85%,12,44%
Jamar Taylor,CB,0,0%,49,83%,5,19%
Carl Nassib,DE,0,0%,44,75%,8,30%
Kai Nacua,SS,0,0%,39,66%,11,41%
Trevon Coley,DT,0,0%,38,64%,4,15%
Danny Shelton,DT,0,0%,36,61%,0,0%
Caleb Brantley,DT,0,0%,24,41%,2,7%
Briean Boddy-Calhoun,CB,0,0%,23,39%,6,22%
Justin Currie,SS,0,0%,21,36%,12,44%
Larry Ogunjobi,DT,0,0%,13,22%,4,15%
Nate Orchard,DE,0,0%,10,17%,5,19%
B.J. Bello,LB,0,0%,8,14%,19,70%
Lavar Edwards,LB,0,0%,7,12%,0,0%
Mike Jordan,CB,0,0%,2,3%,7,26%
Josh Keyes,LB,0,0%,0,0%,17,63%
Derron Smith,SS,0,0%,0,0%,17,63%
Matthew Dayes,RB,0,0%,0,0%,13,48%
Charley Hughlett,LS,0,0%,0,0%,9,33%
Zane Gonzalez,K,0,0%,0,0%,9,33%
Britton Colquitt,P,0,0%,0,0%,9,33%
C.J. Smith,CB,0,0%,0,0%,7,26%
Austin Reiter,C,0,0%,0,0%,4,15%
Zach Banner,T,0,0%,0,0%,4,15%
