Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Andrew Whitworth,T,69,100%,0,0%,9,27%
Rodger Saffold,G,69,100%,0,0%,9,27%
Jamon Brown,G,69,100%,0,0%,9,27%
Rob Havenstein,T,69,100%,0,0%,9,27%
John Sullivan,C,69,100%,0,0%,0,0%
Jared Goff,QB,69,100%,0,0%,0,0%
Sammy Watkins,WR,60,87%,0,0%,0,0%
Robert Woods,WR,59,86%,0,0%,0,0%
Todd Gurley,RB,55,80%,0,0%,0,0%
Cooper Kupp,WR,49,71%,0,0%,0,0%
Tyler Higbee,TE,47,68%,0,0%,14,42%
Gerald Everett,TE,21,30%,0,0%,0,0%
Derek Carrier,TE,16,23%,0,0%,19,58%
Tavon Austin,WR,15,22%,0,0%,3,9%
Pharoh Cooper,WR,9,13%,0,0%,19,58%
Malcolm Brown,RB,7,10%,0,0%,3,9%
Josh Reynolds,WR,7,10%,0,0%,0,0%
Alec Ogletree,LB,0,0%,71,100%,5,15%
Trumaine Johnson,CB,0,0%,69,97%,3,9%
Mark Barron,LB,0,0%,68,96%,1,3%
Kayvon Webster,CB,0,0%,67,94%,0,0%
Aaron Donald,DT,0,0%,59,83%,5,15%
Michael Brockers,DT,0,0%,58,82%,5,15%
Cody Davis,FS,0,0%,58,82%,0,0%
Connor Barwin,LB,0,0%,56,79%,5,15%
Maurice Alexander,SS,0,0%,44,62%,15,45%
Robert Quinn,LB,0,0%,42,59%,3,9%
Nickell Robey-Coleman,CB,0,0%,39,55%,13,39%
Tanzel Smart,DT,0,0%,31,44%,2,6%
John Johnson,SS,0,0%,29,41%,13,39%
Matt Longacre,LB,0,0%,29,41%,8,24%
Samson Ebukam,LB,0,0%,15,21%,19,58%
Tyrunn Walker,DT,0,0%,15,21%,4,12%
Ethan Westbrooks,DE,0,0%,12,17%,0,0%
Morgan Fox,DE,0,0%,11,15%,6,18%
Cory Littleton,LB,0,0%,3,4%,24,73%
Blake Countess,SS,0,0%,2,3%,24,73%
Marqui Christian,SS,0,0%,2,3%,19,58%
Bryce Hager,LB,0,0%,0,0%,19,58%
Greg Zuerlein,K,0,0%,0,0%,18,55%
Troy Hill,CB,0,0%,0,0%,18,55%
Jake McQuaide,LS,0,0%,0,0%,11,33%
Johnny Hekker,P,0,0%,0,0%,11,33%
Austin Blythe,C,0,0%,0,0%,9,27%
Darrell Williams,T,0,0%,0,0%,9,27%
