Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Josh McCown,NYJ,23,30,194,2,1,3,16,34,101.2,3,-3,0,,0,0,0,0,,0,0
Elijah McGuire,NYJ,0,0,0,0,0,0,0,0,,11,20,0,7,3,2,10,0,11,0,0
ArDarius Stewart,NYJ,0,0,0,0,0,0,0,0,,2,12,0,11,0,0,0,0,0,0,0
Bilal Powell,NYJ,0,0,0,0,0,0,0,0,,2,5,0,5,5,4,28,0,11,0,0
Jeremy Kerley,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,39,0,18,0,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,38,1,24,1,0
Eric Tomlinson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,34,0,34,0,0
Austin Seferian-Jenkins,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,29,1,9,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,10,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Kevin Hogan,CLE,16,19,194,2,1,0,0,41,122.4,4,30,0,,0,0,0,0,,0,0
DeShone Kizer,CLE,8,17,87,0,1,1,2,21,38.1,6,29,0,,0,0,0,0,,1,1
Isaiah Crowell,CLE,0,0,0,0,0,0,0,0,,16,60,0,16,3,2,7,0,4,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,6,20,0,8,3,3,63,1,41,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,1,1,0,1,3,3,48,1,21,0,0
Ricardo Louis,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,71,0,21,0,0
Kasen Williams,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,33,0,12,0,0
Bryce Treggs,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,28,0,19,0,0
Seth Devalve,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,24,0,17,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,7,0,5,0,0
