Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Jack Conklin,T,72,100%,0,0%,5,20%
Taylor Lewan,T,72,100%,0,0%,5,20%
Josh Kline,G,72,100%,0,0%,5,20%
Marcus Mariota,QB,72,100%,0,0%,0,0%
Ben Jones,C,72,100%,0,0%,0,0%
Quinton Spain,G,68,94%,0,0%,4,16%
Eric Decker,WR,66,92%,0,0%,0,0%
Rishard Matthews,WR,57,79%,0,0%,0,0%
Jonnu Smith,TE,49,68%,0,0%,4,16%
DeMarco Murray,RB,43,60%,0,0%,0,0%
Delanie Walker,TE,38,53%,0,0%,0,0%
Taywan Taylor,WR,32,44%,0,0%,1,4%
Derrick Henry,RB,30,42%,0,0%,0,0%
Phillip Supernaw,TE,18,25%,0,0%,17,68%
Dennis Kelly,T,14,19%,0,0%,5,20%
Jalston Fowler,FB,11,15%,0,0%,0,0%
Brian Schwenke,C,5,7%,0,0%,5,20%
Eric Weems,WR,1,1%,0,0%,17,68%
Wesley Woodyard,LB,0,0%,73,100%,7,28%
Kevin Byard,FS,0,0%,73,100%,3,12%
Logan Ryan,CB,0,0%,73,100%,3,12%
Adoree' Jackson,CB,0,0%,70,96%,11,44%
Derrick Morgan,LB,0,0%,59,81%,0,0%
Brian Orakpo,LB,0,0%,58,79%,0,0%
Jurrell Casey,DT,0,0%,55,75%,3,12%
DaQuan Jones,DE,0,0%,53,73%,8,32%
Da'Norris Searcy,SS,0,0%,53,73%,4,16%
Jayon Brown,LB,0,0%,38,52%,4,16%
Avery Williamson,LB,0,0%,35,48%,0,0%
LeShaun Sims,CB,0,0%,30,41%,16,64%
Erik Walden,LB,0,0%,29,40%,3,12%
Karl Klug,DT,0,0%,26,36%,9,36%
Sylvester Williams,NT,0,0%,23,32%,0,0%
Curtis Riley,FS,0,0%,21,29%,10,40%
Brice McCain,CB,0,0%,19,26%,9,36%
Austin Johnson,NT,0,0%,10,14%,4,16%
Nate Palmer,LB,0,0%,5,7%,16,64%
Brynden Trawick,FS,0,0%,0,0%,20,80%
Daren Bates,LB,0,0%,0,0%,20,80%
David Fluellen,RB,0,0%,0,0%,17,68%
Tye Smith,CB,0,0%,0,0%,12,48%
Ryan Succop,K,0,0%,0,0%,10,40%
Brett Kern,P,0,0%,0,0%,9,36%
Beau Brinkley,LS,0,0%,0,0%,9,36%
