Quarter,Time,Tm,Detail,KAN,OAK
1.0,10:14,Chiefs,Harrison Butker 53 yard field goal,3,0
,8:11,Raiders,Amari Cooper 38 yard pass from Derek Carr (Giorgio Tavecchio kick),3,7
,4:17,Chiefs,Travis Kelce 10 yard pass from Alex Smith (Harrison Butker kick),10,7
,0:40,Raiders,Amari Cooper 45 yard pass from Derek Carr (Giorgio Tavecchio kick),10,14
2.0,8:51,Chiefs,Tyreek Hill 64 yard pass from Alex Smith (Harrison Butker kick),17,14
,1:06,Chiefs,Harrison Butker 39 yard field goal,20,14
3.0,10:45,Raiders,DeAndre Washington 4 yard rush (Giorgio Tavecchio kick),20,21
,7:08,Chiefs,Albert Wilson 63 yard pass from Alex Smith (Harrison Butker kick),27,21
,0:47,Chiefs,Harrison Butker 37 yard field goal,30,21
4.0,11:53,Raiders,Giorgio Tavecchio 26 yard field goal,30,24
,0:00,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Giorgio Tavecchio kick),30,31
