Quarter,Time,Down,ToGo,Location,WAS,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Blair Walsh kicks off 59 yards, returned by Robert Kelley for 16 yards (tackle by Neiko Thorpe)",0.000,-0.410
1,14:55,1,10,WAS 22,0,0,"Robert Kelley middle for 3 yards (tackle by Kam Chancellor and Frank Clark). Penalty on Michael Bennett: Defensive Offside, 5 yards (no play)",0.410,1.140
1,14:29,1,5,WAS 27,0,0,Robert Kelley right tackle for 3 yards (tackle by Jarran Reed),1.140,0.950
1,13:51,2,2,WAS 30,0,0,Kirk Cousins pass complete short right to Brian Quick for 6 yards (tackle by Richard Sherman),0.950,1.330
1,13:12,1,10,WAS 36,0,0,Robert Kelley left guard for -1 yards (tackle by Michael Wilhoite and Frank Clark),1.330,0.660
1,12:26,2,11,WAS 35,0,0,Kirk Cousins pass incomplete short right intended for Jeremy Sprinkle (defended by Justin Coleman),0.660,-0.030
1,12:20,3,11,WAS 35,0,0,Kirk Cousins pass incomplete deep left intended for Vernon Davis,-0.030,-1.040
1,12:15,4,11,WAS 35,0,0,Tress Way punts 32 yards,-1.040,-1.140
1,12:05,1,10,SEA 33,0,0,"Russell Wilson for no gain. Russell Wilson fumbles, recovered by Russell Wilson at SEA-29",1.140,0.050
1,11:21,2,14,SEA 29,0,0,Russell Wilson pass complete short left to Doug Baldwin for 8 yards (tackle by Quinton Dunbar),0.050,0.430
1,10:43,3,6,SEA 37,0,0,"Russell Wilson for 9 yards (tackle by Zach Brown). Penalty on Oday Aboushi: Offensive Holding, 10 yards (no play)",0.430,-0.890
1,10:18,3,16,SEA 27,0,0,Russell Wilson pass incomplete short left intended for J.D. McKissic,-0.890,-1.570
1,10:14,4,16,SEA 27,0,0,"Jon Ryan punts 50 yards, returned by DeAngelo Hall for no gain",-1.570,-0.480
1,10:05,1,10,WAS 23,0,0,Samaje Perine right guard for 8 yards (tackle by Bobby Wagner),0.480,1.010
1,9:35,2,2,WAS 31,0,0,Samaje Perine middle for 1 yard (tackle by K.J. Wright),1.010,0.430
1,8:58,3,1,WAS 32,0,0,Kirk Cousins pass complete short middle to Vernon Davis for 15 yards (tackle by Bradley McDougald),0.430,2.060
1,8:26,1,10,WAS 47,0,0,"Kirk Cousins for no gain. Kirk Cousins fumbles, recovered by Nazair Jones at WAS-42 (tackle by Chase Roullier)",2.060,-2.790
1,8:21,1,10,WAS 42,0,0,Eddie Lacy left tackle for 2 yards (tackle by Zach Brown and Stacy McGee),2.790,2.510
1,7:48,2,8,WAS 40,0,0,Eddie Lacy left tackle for 1 yard (tackle by Stacy McGee and Preston Smith),2.510,1.950
1,7:08,3,7,WAS 39,0,0,Russell Wilson pass incomplete short left intended for Jimmy Graham,1.950,0.660
1,7:03,4,7,WAS 39,0,0,Jon Ryan punts 33 yards,0.660,0.380
1,6:52,1,10,WAS 6,0,2,"Kirk Cousins sacked by Bobby Wagner for -6 yards, safety",-0.380,-2.000
1,6:48,,,WAS 20,0,2,"Tress Way kicks off 61 yards, returned by Tyler Lockett for 12 yards (tackle by Fabian Moreau)",0.000,-1.000
1,6:42,1,10,SEA 31,0,2,Eddie Lacy right tackle for 3 yards (tackle by Zach Brown and Ryan Kerrigan),1.000,0.870
1,6:06,2,7,SEA 34,0,2,Russell Wilson pass complete short right to Eddie Lacy for 14 yards (tackle by William Compton),0.870,2.130
1,5:22,1,10,SEA 48,0,2,Russell Wilson pass complete deep left to Doug Baldwin for 23 yards (tackle by Quinton Dunbar),2.130,3.640
1,4:42,1,10,WAS 29,0,2,Russell Wilson pass incomplete deep right intended for Tyler Lockett (defended by Josh Norman),3.640,3.100
1,4:37,2,10,WAS 29,0,2,Eddie Lacy middle for 3 yards (tackle by Stacy McGee),3.100,2.810
1,3:58,3,7,WAS 26,0,2,Russell Wilson pass incomplete deep left intended for Tyler Lockett,2.810,1.740
1,3:50,4,7,WAS 26,0,2,Blair Walsh 44 yard field goal no good,1.740,-1.200
1,3:45,1,10,WAS 34,0,2,Kirk Cousins sacked by Jarran Reed and Nazair Jones for -9 yards,1.200,-0.560
1,3:05,2,19,WAS 25,0,2,Kirk Cousins pass complete short middle to Chris Thompson for 6 yards (tackle by K.J. Wright),-0.560,-0.430
1,2:38,3,13,WAS 31,0,2,"Penalty on WAS: Illegal Substitution, 5 yards (no play)",-0.430,-1.090
