Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Philip Rivers,LAC,25,51,331,3,1,2,15,43,81.4,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,9,15,1,8,2,1,11,0,11,0,0
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,1,4,0,4,4,3,22,0,20,0,0
Tyrell Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,94,0,29,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,75,1,43,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,68,0,20,0,0
Antonio Gates,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,41,1,14,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,0,9,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tom Brady,NWE,34,44,343,1,0,0,0,35,106.5,2,-1,0,0,0,0,0,0,0,0,0
Sony Michel,NWE,0,0,0,0,0,0,0,0,,24,129,3,40,1,1,9,0,9,0,0
Rex Burkhead,NWE,0,0,0,0,0,0,0,0,,4,12,1,6,1,1,7,0,7,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,0,,1,7,0,7,13,9,151,0,35,0,0
James Develin,NWE,0,0,0,0,0,0,0,0,,2,5,0,3,0,0,0,0,0,0,0
Cordarrelle Patterson,NWE,0,0,0,0,0,0,0,0,,1,3,0,3,1,0,0,0,0,0,0
James White,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,17,15,97,0,25,0,0
Phillip Dorsett,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,41,1,15,0,0
Rob Gronkowski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0
Chris Hogan,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,13,0,5,0,0
