Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Mike Hilton,PIT,0,8,4,50.0%,63,15.8,7.9,0,76.6,10.0,49,14,2,0,1,0.0,1,3,0,0.0%
T.J. Watt,PIT,0,3,3,100.0%,27,9.0,9.0,0,104.2,2.0,6,21,3,1,1,3.0,5,10,2,16.7%
Jonathan Bostic,PIT,0,3,2,66.7%,4,2.0,1.3,0,70.1,4.0,-10,14,3,1,0,1.0,2,9,0,0.0%
Cameron Sutton,PIT,1,5,2,40.0%,55,27.5,11.0,1,81.2,20.0,42,13,0,0,0,0.0,0,2,0,0.0%
Bud Dupree,PIT,0,1,1,100.0%,6,6.0,6.0,0,91.7,3.0,3,3,4,6,0,1.0,7,5,0,0.0%
Stephon Tuitt,PIT,0,1,1,100.0%,8,8.0,8.0,0,100.0,2.0,2,6,0,4,1,0.0,5,4,2,33.3%
Joe Haden,PIT,0,3,1,33.3%,33,33.0,11.0,0,75.7,39.0,33,0,0,0,0,0.0,0,3,1,25.0%
Vince Williams,PIT,0,3,0,0.0%,,,0.0,,39.6,1.3,,,7,2,0,0.0,2,12,2,14.3%
Terrell Edmunds,PIT,0,3,0,0.0%,,,0.0,,39.6,4.3,,,3,0,1,0.0,1,0,0,
Javon Hargrave,PIT,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
Cameron Heyward,PIT,0,0,0,,,,,,,,,,0,0,0,1.0,1,7,1,12.5%
Daniel McCullers,PIT,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
Anthony Chickillo,PIT,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Artie Burns,PIT,0,1,0,0.0%,,,0.0,,39.6,16.0,,,0,0,0,0.0,0,2,0,0.0%
Morgan Burnett,PIT,0,4,0,0.0%,,,0.0,,39.6,10.8,,,0,0,0,0.0,0,2,0,0.0%
Sean Davis,PIT,0,2,0,0.0%,,,0.0,,39.6,20.5,,,0,0,0,0.0,0,5,1,16.7%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Terrance Mitchell,CLE,0,11,5,45.5%,49,9.8,4.5,0,58.5,6.5,15,34,0,0,0,0.0,0,6,0,0.0%
Briean Boddy-Calhoun,CLE,0,6,5,83.3%,129,25.8,21.5,0,118.7,6.8,35,94,0,0,0,0.0,0,5,1,16.7%
Denzel Ward,CLE,2,8,5,62.5%,47,9.4,5.9,1,78.6,12.3,38,9,0,0,0,0.0,0,6,1,14.3%
Christian Kirksey,CLE,0,4,3,75.0%,54,18.0,13.5,0,116.7,4.0,14,40,10,0,1,0.0,1,5,3,37.5%
Jamie Collins,CLE,0,6,3,50.0%,26,8.7,4.3,0,61.8,4.2,9,17,3,1,0,0.0,1,6,1,14.3%
Joe Schobert,CLE,0,2,1,50.0%,10,10.0,5.0,0,64.6,17.5,4,6,7,2,0,0.0,2,8,2,20.0%
Derrick Kindred,CLE,0,1,1,100.0%,13,13.0,13.0,0,118.7,10.0,10,3,1,0,0,0.0,0,4,0,0.0%
Myles Garrett,CLE,0,1,0,0.0%,,,0.0,,39.6,12.0,,,0,2,0,2.0,4,6,0,0.0%
Genard Avery,CLE,0,0,0,,,,,,,,,,9,1,1,1.0,3,4,0,0.0%
Larry Ogunjobi,CLE,0,0,0,,,,,,,,,,0,1,0,1.0,2,7,0,0.0%
Jabrill Peppers,CLE,0,0,0,,,,,,,,,,1,0,0,0.0,0,6,0,0.0%
Damarious Randall,CLE,1,3,0,0.0%,,,0.0,,0.0,28.7,,,0,0,0,0.0,0,5,0,0.0%
Chris Smith,CLE,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
