Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Danny Amendola,MIA,10,7,72,0,4,26,3.7,46,6.6,5.2,0,,0,0.0,1,50.8
DeVante Parker,MIA,11,5,43,0,2,20,4.0,23,4.6,10.2,1,5.0,0,0.0,0,56.2
Kenyan Drake,MIA,2,2,11,0,0,5,2.5,6,3.0,2.5,0,,0,0.0,0,89.6
Frank Gore,MIA,3,2,12,0,1,1,0.5,11,5.5,1.7,0,,0,0.0,0,74.3
Kenny Stills,MIA,3,2,26,0,1,15,7.5,11,5.5,6.0,0,,0,0.0,0,93.7
Kalen Ballage,MIA,1,1,6,0,,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7
Leonte Carroo,MIA,1,1,20,0,1,19,19.0,1,1.0,19.0,0,,0,0.0,0,118.7
A.J. Derby,MIA,2,1,13,0,1,6,6.0,7,7.0,4.0,1,1.0,0,0.0,0,70.8
Mike Gesicki,MIA,1,1,5,0,,0,0.0,5,5.0,0.0,1,1.0,0,0.0,0,87.5
Nick O'Leary,MIA,1,1,5,0,1,4,4.0,1,1.0,4.0,0,,0,0.0,0,87.5
Jakeem Grant,MIA,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquez Valdes-Scantling,GNB,7,6,44,0,3,16,2.7,28,4.7,5.0,0,,0,0.0,0,92.9
Davante Adams,GNB,7,4,57,2,3,43,10.8,14,3.5,13.3,0,,1,14.3,0,123.2
Aaron Jones,GNB,5,3,27,0,2,-6,-2.0,33,11.0,-0.4,0,,1,20.0,0,74.6
Lance Kendricks,GNB,2,2,24,0,1,16,8.0,8,4.0,8.0,0,,0,0.0,0,116.7
Equanimeous St. Brown,GNB,3,2,3,0,,3,1.5,0,0.0,10.3,0,,0,0.0,0,70.1
Marcedes Lewis,GNB,1,1,30,0,1,3,3.0,27,27.0,3.0,0,,0,0.0,0,118.7
Jimmy Graham,GNB,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7
