Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Andrew Wylie,T,59,100%,0,0%,4,16%
Austin Reiter,C,59,100%,0,0%,4,16%
Eric Fisher,T,59,100%,0,0%,4,16%
Mitchell Schwartz,T,59,100%,0,0%,4,16%
Patrick Mahomes,QB,59,100%,0,0%,0,0%
Cameron Erving,T,59,100%,0,0%,0,0%
Travis Kelce,TE,58,98%,0,0%,0,0%
Tyreek Hill,WR,54,92%,0,0%,5,20%
Chris Conley,WR,54,92%,0,0%,0,0%
Demarcus Robinson,WR,43,73%,0,0%,5,20%
Kareem Hunt,RB,43,73%,0,0%,0,0%
Spencer Ware,RB,20,34%,0,0%,3,12%
Demetrius Harris,TE,14,24%,0,0%,23,92%
Anthony Sherman,FB,4,7%,0,0%,18,72%
Marcus Kemp,WR,3,5%,0,0%,19,76%
Damien Williams,RB,1,2%,0,0%,14,56%
Deon Yelder,TE,1,2%,0,0%,0,0%
Kendall Fuller,CB,0,0%,73,100%,2,8%
Steven Nelson,CB,0,0%,73,100%,0,0%
Ron Parker,FS,0,0%,73,100%,0,0%
Eric Murray,FS,0,0%,72,99%,2,8%
Dee Ford,LB,0,0%,65,89%,0,0%
Orlando Scandrick,CB,0,0%,55,75%,0,0%
Allen Bailey,DE,0,0%,52,71%,2,8%
Chris Jones,DE,0,0%,49,67%,2,8%
Justin Houston,LB,0,0%,49,67%,0,0%
Dorian O'Daniel,LB,0,0%,43,59%,19,76%
Reggie Ragland,LB,0,0%,39,53%,2,8%
Daniel Sorensen,SS,0,0%,32,44%,7,28%
Ben Niemann,LB,0,0%,29,40%,21,84%
Derrick Nnadi,NT,0,0%,27,37%,2,8%
Xavier Williams,DT,0,0%,24,33%,0,0%
Breeland Speaks,LB,0,0%,23,32%,2,8%
Jarvis Jenkins,DE,0,0%,15,21%,0,0%
Tanoh Kpassagnon,LB,0,0%,10,14%,8,32%
Charvarius Ward,CB,0,0%,0,0%,21,84%
Darrel Williams,RB,0,0%,0,0%,19,76%
Tremon Smith,CB,0,0%,0,0%,14,56%
Jordan Lucas,CB,0,0%,0,0%,13,52%
Harrison Butker,K,0,0%,0,0%,10,40%
Dustin Colquitt,P,0,0%,0,0%,9,36%
James Winchester,LS,0,0%,0,0%,9,36%
Jeff Allen,G,0,0%,0,0%,4,16%
Jimmy Murray,C,0,0%,0,0%,4,16%
