Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kyler Fackrell,GNB,0,0,0,0,0,3.0,6,5,1,4,4,0,0,0,0
Josh Jones,GNB,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Tramon Williams,GNB,0,0,0,0,0,0.0,7,5,2,0,0,1,0,0,0
Jaire Alexander,GNB,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,0.0,6,2,4,1,0,0,0,0,0
Clay Matthews,GNB,0,0,0,0,0,0.0,5,3,2,1,1,0,0,0,1
Kenny Clark,GNB,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Antonio Morrison,GNB,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Bashaud Breeland,GNB,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Tony Brown,GNB,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,1
Reggie Gilbert,GNB,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Ibraheim Campbell,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Raven Greene,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Jackson,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Trevor Davis,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Frank Clark,SEA,0,0,0,0,0,2.0,4,3,1,1,2,0,0,0,0
Rasheem Green,SEA,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Jacob Martin,SEA,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Austin Calitro,SEA,0,0,0,0,0,0.5,5,1,4,0,1,0,0,0,0
Jarran Reed,SEA,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,0
Bobby Wagner,SEA,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0
Tre Flowers,SEA,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Justin Coleman,SEA,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Shaquill Griffin,SEA,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Barkevious Mingo,SEA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Bradley McDougald,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tre Madden,SEA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Tedric Thompson,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Ed Dickson,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Branden Jackson,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Quinton Jefferson,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Shamar Stephen,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
