Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Ty Nsekhe,T,75,100%,0,0%,4,15%
Tony Bergstrom,G,75,100%,0,0%,4,15%
Chase Roullier,C,75,100%,0,0%,4,15%
Jonathan Cooper,G,75,100%,0,0%,4,15%
Morgan Moses,T,75,100%,0,0%,0,0%
Josh Doctson,WR,64,85%,0,0%,0,0%
Trey Quinn,WR,53,71%,0,0%,4,15%
Alex Smith,QB,51,68%,0,0%,0,0%
Jordan Reed,TE,50,67%,0,0%,0,0%
Adrian Peterson,RB,42,56%,0,0%,0,0%
Maurice Harris,WR,41,55%,0,0%,0,0%
Michael Floyd,WR,33,44%,0,0%,2,7%
Vernon Davis,TE,28,37%,0,0%,0,0%
Jeremy Sprinkle,TE,27,36%,0,0%,16,59%
Colt McCoy,QB,24,32%,0,0%,0,0%
Byron Marshall,RB,17,23%,0,0%,12,44%
Kapri Bibbs,RB,16,21%,0,0%,6,22%
Ryan Anderson,LB,2,3%,14,22%,16,59%
Austin Howard,T,2,3%,0,0%,4,15%
Mason Foster,LB,0,0%,63,100%,0,0%
Josh Norman,CB,0,0%,63,100%,0,0%
Ha Ha Clinton-Dix,FS,0,0%,62,98%,4,15%
D.J. Swearinger,FS,0,0%,62,98%,0,0%
Fabian Moreau,CB,0,0%,57,90%,0,0%
Zach Brown,LB,0,0%,55,87%,0,0%
Ryan Kerrigan,LB,0,0%,53,84%,7,26%
Jonathan Allen,DE,0,0%,51,81%,7,26%
Preston Smith,LB,0,0%,51,81%,0,0%
Daron Payne,NT,0,0%,49,78%,7,26%
Matthew Ioannidis,DE,0,0%,48,76%,11,41%
Greg Stroman,CB,0,0%,33,52%,1,4%
Josh Harvey-Clemons,LB,0,0%,8,13%,16,59%
Cassanova McKinzy,LB,0,0%,8,13%,11,41%
Deshazor Everett,SS,0,0%,6,10%,23,85%
Stacy McGee,DE,0,0%,6,10%,0,0%
Tim Settle,NT,0,0%,2,3%,11,41%
Montae Nicholson,SS,0,0%,1,2%,12,44%
Jehu Chesson,WR,0,0%,0,0%,23,85%
Danny Johnson,CB,0,0%,0,0%,23,85%
Zach Vigil,LB,0,0%,0,0%,15,56%
Shaun Dion Hamilton,LB,0,0%,0,0%,13,48%
Adonis Alexander,CB,0,0%,0,0%,11,41%
Nick Sundberg,LS,0,0%,0,0%,9,33%
Tress Way,P,0,0%,0,0%,9,33%
Dustin Hopkins,K,0,0%,0,0%,8,30%
