Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Dalvin Cook,MIN,7,5,28,1,2,-6,-1.2,34,6.8,-1.6,1,5.0,1,14.3,0,117.9
Adam Thielen,MIN,7,5,70,0,4,19,3.8,51,10.2,4.7,1,5.0,0,0.0,0,103.3
Stefon Diggs,MIN,6,4,76,0,3,74,18.5,2,0.5,19.0,0,,0,0.0,0,109.7
Laquon Treadwell,MIN,3,3,16,0,,2,0.7,14,4.7,0.7,0,,0,0.0,0,88.9
Kyle Rudolph,MIN,5,2,7,0,,6,3.0,1,0.5,2.6,0,,1,20.0,0,47.9
Tyler Conklin,MIN,2,1,11,0,,9,9.0,2,2.0,9.0,0,,1,50.0,0,66.7
Aldrick Robinson,MIN,1,0,0,0,,0,,0,,42.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyler Lockett,SEA,6,5,42,0,3,24,4.8,18,3.6,9.8,0,,0,0.0,0,95.8
Jaron Brown,SEA,1,1,0,0,,-6,-6.0,6,6.0,-6.0,0,,0,0.0,0,79.2
Mike Davis,SEA,1,1,5,0,0,0,0.0,5,5.0,0.0,0,,0,0.0,0,87.5
Ed Dickson,SEA,1,1,4,0,,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3
George Fant,SEA,1,1,9,0,,0,0.0,9,9.0,0.0,0,,0,0.0,0,104.2
Nick Vannett,SEA,1,1,12,0,1,10,10.0,2,2.0,10.0,0,,0,0.0,0,116.7
David Moore,SEA,5,0,0,0,,0,,0,,23.4,0,,1,20.0,0,39.6
