Quarter,Time,Down,ToGo,Location,WAS,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 65 yards, returned by Byron Marshall for no gain (tackle by Kendrick Lewis)",0.000,0.810
1,14:54,1,10,WAS 28,0,0,Adrian Peterson right tackle for 4 yards (tackle by Jayon Brown and Wesley Woodyard),0.810,0.800
1,14:15,2,6,WAS 32,0,0,Josh Johnson pass incomplete deep middle intended for Josh Doctson,0.800,0.100
1,14:08,3,6,WAS 32,0,0,Josh Johnson pass complete deep left to Jamison Crowder for 30 yards,0.100,3.050
1,13:34,1,10,TEN 38,0,0,Chris Thompson up the middle for 1 yard (tackle by Wesley Woodyard and Jayon Brown),3.050,2.640
1,12:51,2,9,TEN 37,0,0,Josh Johnson pass incomplete short right intended for Byron Marshall,2.640,1.950
1,12:48,3,9,TEN 37,0,0,"Josh Johnson up the middle for no gain (tackle by Kamalei Correa). Penalty on Jurrell Casey: Defensive Offside, 5 yards (no play)",1.950,2.610
1,12:21,3,4,TEN 32,0,0,Josh Johnson pass incomplete short right intended for Jeremy Sprinkle,2.610,1.270
1,12:14,4,4,TEN 32,3,0,Dustin Hopkins 50 yard field goal good,1.270,3.000
1,12:09,,,WAS 35,3,0,"Dustin Hopkins kicks off 65 yards, returned by Darius Jennings for no gain (tackle by Ha Ha Clinton-Dix)",0.000,1.000
1,12:03,1,10,TEN 31,3,0,Marcus Mariota pass complete short middle to Taywan Taylor for 15 yards (tackle by D.J. Swearinger),1.000,1.990
1,11:30,1,10,TEN 46,3,0,Derrick Henry right tackle for 5 yards (tackle by Matthew Ioannidis and Preston Smith),1.990,2.130
1,10:47,2,5,WAS 49,3,0,Derrick Henry up the middle for 7 yards (tackle by Shaun Dion Hamilton),2.130,2.790
1,10:14,1,10,WAS 42,3,0,Marcus Mariota pass complete short right to Corey Davis for 16 yards (tackle by Ha Ha Clinton-Dix and Mason Foster),2.790,3.840
1,9:37,1,10,WAS 26,3,0,Marcus Mariota pass incomplete short middle intended for Anthony Firkser (defended by Mason Foster),3.840,3.300
1,9:34,2,10,WAS 26,3,0,Dion Lewis left guard for -1 yards (tackle by Pernell McPhee),3.300,2.480
1,8:56,3,11,WAS 27,3,0,"Penalty on Pernell McPhee: Neutral Zone Infraction, 5 yards (no play)",2.480,3.140
1,8:30,3,6,WAS 22,3,0,Marcus Mariota left end for 7 yards (tackle by Mason Foster),3.140,4.580
1,7:49,1,10,WAS 15,3,0,Marcus Mariota pass complete short middle to Derrick Henry for 8 yards (tackle by Josh Norman),4.580,5.410
1,7:09,2,2,WAS 7,3,0,Derrick Henry left guard for 5 yards (tackle by Ha Ha Clinton-Dix),5.410,6.740
1,6:26,1,2,WAS 2,3,0,Derrick Henry up the middle for 1 yard (tackle by Jonathan Allen),6.740,5.910
1,5:41,2,1,WAS 1,3,6,"Derrick Henry left end for 1 yard, touchdown",5.910,7.000
1,5:37,,,WAS 15,3,6,Ryan Succop kicks extra point no good wide left,0.000,-1.000
1,5:37,,,TEN 35,3,6,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
1,5:37,1,10,WAS 25,3,6,Adrian Peterson right guard for 1 yard (tackle by Jayon Brown and Harold Landry),0.610,0.200
1,4:55,,,,,,Timeout #1 by Washington Redskins,,
1,4:55,2,9,WAS 26,3,6,Adrian Peterson up the middle for 8 yards (tackle by Kevin Byard and LeShaun Sims),0.200,0.560
1,4:28,3,1,WAS 34,3,6,Adrian Peterson left guard for no gain (tackle by Jayon Brown and Rashaan Evans),0.560,-1.110
1,3:41,4,1,WAS 34,3,6,"Penalty on Timon Parris: False Start, 4 yards (no play)",-1.110,-1.370
1,3:38,4,5,WAS 30,3,6,"Tress Way punts 50 yards, fair catch by Adoree' Jackson at TEN-20. Penalty on Andrew East: Offensive Holding, 10 yards",-1.370,-0.940
1,3:32,1,10,TEN 30,3,6,"Penalty on Ryan Kerrigan: Neutral Zone Infraction, 5 yards (no play)",0.940,1.670
1,3:32,1,5,TEN 35,3,6,Marcus Mariota pass complete short left to Dion Lewis for -2 yards (tackle by Shaun Dion Hamilton),1.670,0.800
1,2:49,2,7,TEN 33,3,6,Dion Lewis left guard for 3 yards (tackle by Tim Settle),0.800,0.500
1,2:10,3,4,TEN 36,3,6,Marcus Mariota pass complete short middle to Taywan Taylor for 14 yards (tackle by Ha Ha Clinton-Dix),0.500,2.260
1,1:39,1,10,TEN 50,3,6,Derrick Henry right guard for 2 yards (tackle by Da'Ron Payne and Mason Foster),2.260,1.980
1,1:18,2,8,WAS 48,3,6,Corey Davis left end for 1 yard (tackle by Greg Stroman),1.980,1.420
1,0:37,3,7,WAS 47,3,6,Marcus Mariota pass incomplete short middle intended for Corey Davis (defended by Da'Ron Payne),1.420,0.130
1,0:33,4,7,WAS 47,3,6,"Brett Kern punts 40 yards, fair catch by Jamison Crowder at WAS-7",0.130,0.380
1,0:26,1,10,WAS 7,3,6,Adrian Peterson left guard for 4 yards (tackle by Austin Johnson and Wesley Woodyard),-0.380,-0.490
Quarter,Time,Down,ToGo,Location,WAS,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,WAS 11,3,6,Josh Johnson pass complete short left to Adrian Peterson for 8 yards (tackle by Malcolm Butler),-0.490,0.150
2,15:00,1,10,WAS 19,3,6,"Penalty on Kyle Fuller: False Start, 5 yards (no play)",0.150,-0.390
2,14:14,1,15,WAS 14,3,6,Josh Johnson sacked by Wesley Woodyard for -12 yards,-0.390,-2.020
2,13:32,2,27,WAS 2,3,6,Adrian Peterson right guard for 13 yards (tackle by Jayon Brown),-2.020,-1.760
2,12:50,3,14,WAS 15,3,6,Josh Johnson pass complete deep middle to Josh Doctson for 22 yards (tackle by Kevin Byard),-1.760,1.400
2,12:13,1,10,WAS 37,3,6,Adrian Peterson right tackle for 2 yards (tackle by Derrick Morgan),1.400,1.130
2,11:36,2,8,WAS 39,3,6,Adrian Peterson right tackle for 8 yards (tackle by Malcolm Butler),1.130,2.060
