Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Roquan Smith,CHI,0,4,4,100.0%,24,6.0,6.0,0,91.7,4.8,19,5,1,0,0,0.0,0,5,0,0.0%
Kyle Fuller,CHI,0,5,3,60.0%,26,8.7,5.2,0,73.7,10.0,22,4,0,0,0,0.0,0,3,0,0.0%
Danny Trevathan,CHI,0,3,3,100.0%,6,2.0,2.0,1,118.7,0.0,0,6,1,0,0,0.0,0,3,0,0.0%
Adrian Amos,CHI,0,4,2,50.0%,2,1.0,0.5,0,56.2,0.8,1,1,0,0,0,0.0,0,5,0,0.0%
Prince Amukamara,CHI,0,5,2,40.0%,12,6.0,2.4,0,47.9,14.8,12,0,0,0,0,0.0,0,3,0,0.0%
Sherrick McManis,CHI,0,3,2,66.7%,16,8.0,5.3,0,79.9,3.7,4,12,0,0,0,0.0,0,4,0,0.0%
Joel Iyiegbuniwe,CHI,0,3,2,66.7%,30,15.0,10.0,0,99.3,5.0,2,28,0,0,0,0.0,0,1,0,0.0%
DeAndre Houston-Carson,CHI,0,1,1,100.0%,9,9.0,9.0,0,104.2,3.0,3,6,0,0,0,0.0,0,2,0,0.0%
Kevin Toliver,CHI,0,2,1,50.0%,7,7.0,3.5,0,58.3,10.0,7,0,0,0,0,0.0,0,1,0,0.0%
Marcus Williams,CHI,0,3,1,33.3%,4,4.0,1.3,0,42.4,27.0,4,0,0,0,0,0.0,0,1,0,0.0%
Isaiah Irving,CHI,0,0,0,,,,,,,,,,0,3,1,0.0,4,1,0,0.0%
Bilal Nichols,CHI,0,0,0,,,,,,,,,,0,3,0,1.0,4,2,0,0.0%
Roy Robertson-Harris,CHI,0,0,0,,,,,,,,,,0,3,0,0.5,4,1,0,0.0%
Akiem Hicks,CHI,0,0,0,,,,,,,,,,0,1,0,1.5,3,3,0,0.0%
Eddie Goldman,CHI,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,0,0.0%
Leonard Floyd,CHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,6,0,0.0%
Nick Kwiatkoski,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Harrison Smith,MIN,0,5,4,80.0%,30,7.5,6.0,0,91.7,7.8,24,6,2,1,0,0.0,1,6,0,0.0%
Holton Hill,MIN,0,5,4,80.0%,55,13.8,11.0,0,112.5,17.8,54,1,0,0,0,0.0,0,7,0,0.0%
Anthony Harris,MIN,0,2,2,100.0%,15,7.5,7.5,0,97.9,2.5,5,10,0,0,0,0.0,0,5,1,16.7%
Trae Waynes,MIN,0,5,2,40.0%,24,12.0,4.8,0,55.4,18.0,20,4,0,0,0,0.0,0,5,0,0.0%
Mackensie Alexander,MIN,0,3,2,66.7%,10,5.0,3.3,0,71.5,0.0,-2,12,1,0,0,0.0,0,2,1,33.3%
Jayron Kearse,MIN,0,3,2,66.7%,12,6.0,4.0,0,74.3,3.7,13,-1,0,0,0,0.0,0,2,0,0.0%
Anthony Barr,MIN,0,3,2,66.7%,10,5.0,3.3,0,71.5,-1.7,-7,17,4,0,0,0.0,0,1,2,66.7%
Eric Wilson,MIN,0,1,1,100.0%,8,8.0,8.0,0,100.0,3.0,3,5,2,0,0,0.0,0,10,0,0.0%
Sheldon Richardson,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
Linval Joseph,MIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Danielle Hunter,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,1,20.0%
Stephen Weatherly,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Everson Griffen,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,6,1,14.3%
Tom Johnson,MIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Ben Gedeon,MIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,6,1,14.3%
