Quarter,Time,Tm,Detail,ARI,SEA
1.0,7:22,Cardinals,Zane Gonzalez 36 yard field goal,3,0
,1:25,Seahawks,Tyler Lockett 29 yard pass from Russell Wilson (Sebastian Janikowski kick),3,7
2.0,11:39,Seahawks,Chris Carson 7 yard rush (Sebastian Janikowski kick),3,14
,5:44,Cardinals,Larry Fitzgerald 15 yard pass from Josh Rosen (Zane Gonzalez kick),10,14
,1:12,Cardinals,Zane Gonzalez 50 yard field goal,13,14
3.0,4:34,Seahawks,Mike Davis 17 yard rush (Sebastian Janikowski kick),13,21
,0:11,Cardinals,Dennis Gardeck blocked punt recovery in end zone (David Johnson run),21,21
4.0,6:20,Seahawks,Sebastian Janikowski 42 yard field goal,21,24
,1:49,Cardinals,Zane Gonzalez 55 yard field goal,24,24
,0:00,Seahawks,Sebastian Janikowski 33 yard field goal,24,27
