Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Shaquille Leonard,IND,1,8,7,87.5%,65,9.3,8.1,1,100.5,5.3,16,49,3,0,0,0.0,0,8,0,0.0%
Pierre Desir,IND,0,8,5,62.5%,30,6.0,3.8,0,69.8,9.5,6,24,0,0,0,0.0,0,6,1,14.3%
Kenny Moore,IND,1,6,5,83.3%,42,8.4,7.0,0,56.2,6.5,26,16,3,0,0,0.0,0,4,1,20.0%
Zaire Franklin,IND,0,2,2,100.0%,20,10.0,10.0,0,108.3,3.0,6,14,0,0,0,0.0,0,3,0,0.0%
Matthew Adams,IND,0,1,1,100.0%,5,5.0,5.0,0,87.5,-3.0,-3,8,0,0,0,0.0,0,2,0,0.0%
Malik Hooker,IND,0,2,1,50.0%,17,17.0,8.5,0,79.2,14.0,14,3,0,0,0,0.0,0,3,1,25.0%
Denico Autry,IND,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
Quincy Wilson,IND,0,3,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,1,0,0.0%
J.J. Wilcox,IND,0,1,0,0.0%,,,0.0,,39.6,1.0,,,1,0,0,0.0,0,2,0,0.0%
Anthony Walker,IND,0,1,0,0.0%,,,0.0,,39.6,14.0,,,0,0,0,0.0,0,2,2,50.0%
George Odum,IND,0,1,0,0.0%,,,0.0,,39.6,18.0,,,0,0,0,0.0,0,7,2,22.2%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Malcolm Butler,TEN,0,8,6,75.0%,73,12.2,9.1,0,102.6,9.3,61,12,0,0,0,0.0,0,6,1,14.3%
Wesley Woodyard,TEN,0,6,5,83.3%,44,8.8,7.3,1,136.8,2.3,14,30,2,0,0,0.0,0,14,0,0.0%
Adoree' Jackson,TEN,0,6,4,66.7%,94,23.5,15.7,0,109.7,12.3,38,56,3,0,0,0.0,0,4,0,0.0%
Kevin Byard,TEN,0,4,3,75.0%,24,8.0,6.0,1,129.2,10.3,20,4,0,0,0,0.0,0,10,1,9.1%
Jayon Brown,TEN,1,5,3,60.0%,15,5.0,3.0,0,25.0,3.4,-10,25,0,0,0,0.0,0,9,2,18.2%
LeShaun Sims,TEN,0,4,2,50.0%,20,10.0,5.0,0,64.6,12.3,19,1,4,0,0,0.0,0,4,1,20.0%
Derrick Morgan,TEN,0,1,1,100.0%,22,22.0,22.0,0,118.7,15.0,15,7,0,0,0,0.0,0,2,0,0.0%
Kenny Vaccaro,TEN,0,3,1,33.3%,11,11.0,3.7,1,84.7,11.3,11,0,1,0,0,0.0,0,9,0,0.0%
Rashaan Evans,TEN,0,2,1,50.0%,6,6.0,3.0,0,56.2,8.0,5,1,1,0,0,0.0,0,3,0,0.0%
Harold Landry,TEN,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,0,0.0%
DaQuan Jones,TEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%
Matt Dickerson,TEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Austin Johnson,TEN,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Sharif Finch,TEN,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
