Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Danny Trevathan,CHI,0,4,4,100.0%,80,20.0,20.0,2,158.3,9.5,38,42,4,0,0,0.0,0,5,1,16.7%
Kevin Toliver,CHI,0,4,3,75.0%,22,7.3,5.5,0,87.5,9.8,22,0,0,0,0,0.0,0,3,0,0.0%
Roquan Smith,CHI,0,3,3,100.0%,13,4.3,4.3,0,84.7,3.7,11,2,2,0,0,0.0,0,4,2,33.3%
Kyle Fuller,CHI,0,4,2,50.0%,15,7.5,3.8,0,59.4,7.8,16,-1,0,0,0,0.0,0,2,0,0.0%
Khalil Mack,CHI,0,1,1,100.0%,30,30.0,30.0,0,118.7,8.0,8,22,0,0,1,2.0,3,5,0,0.0%
Sherrick McManis,CHI,1,2,1,50.0%,32,32.0,16.0,0,56.2,16.5,23,9,1,0,0,1.0,1,2,0,0.0%
Aaron Lynch,CHI,0,1,1,100.0%,35,35.0,35.0,1,158.3,17.0,17,18,0,0,1,0.0,1,0,0,
Prince Amukamara,CHI,0,4,1,25.0%,-1,-1.0,-0.3,0,39.6,19.0,-1,0,0,0,0,0.0,0,2,0,0.0%
Eddie Jackson,CHI,1,2,1,50.0%,3,3.0,1.5,0,16.7,21.0,3,0,0,0,0,0.0,0,3,0,0.0%
Adrian Amos,CHI,0,2,1,50.0%,9,9.0,4.5,0,62.5,4.0,9,0,0,0,0,0.0,0,5,0,0.0%
Bryce Callahan,CHI,1,2,1,50.0%,-1,-1.0,-0.5,0,16.7,5.0,-3,2,2,0,0,0.0,0,1,0,0.0%
Leonard Floyd,CHI,0,1,1,100.0%,12,12.0,12.0,0,116.7,7.0,7,5,1,0,0,0.0,0,1,1,50.0%
Akiem Hicks,CHI,0,0,0,,,,,,,,,,0,0,2,1.0,3,4,0,0.0%
Roy Robertson-Harris,CHI,0,0,0,,,,,,,,,,0,1,1,0.0,2,2,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Budda Baker,ARI,0,7,5,71.4%,38,7.6,5.4,0,84.2,3.4,2,36,7,0,0,0.5,1,10,1,9.1%
Gerald Hodges,ARI,0,4,3,75.0%,35,11.7,8.8,0,101.0,3.8,15,20,5,1,1,0.0,2,7,2,22.2%
Antoine Bethea,ARI,0,4,3,75.0%,23,7.7,5.8,0,88.5,15.0,11,12,1,0,0,0.0,0,5,0,0.0%
Jamar Taylor,ARI,0,5,3,60.0%,54,18.0,10.8,0,97.1,14.8,36,18,0,0,0,0.0,0,4,0,0.0%
Patrick Peterson,ARI,0,6,3,50.0%,22,7.3,3.7,0,59.0,13.0,22,0,0,0,0,0.0,0,3,0,0.0%
Josh Bynes,ARI,0,3,2,66.7%,25,12.5,8.3,0,92.4,3.3,20,5,1,0,0,0.0,0,10,0,0.0%
Bene Benwikere,ARI,0,2,1,50.0%,7,7.0,3.5,0,58.3,21.5,3,4,4,0,0,0.5,1,3,0,0.0%
Robert Nkemdiche,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,1,33.3%
Chandler Jones,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
Rodney Gunter,ARI,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,1,33.3%
Corey Peters,ARI,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Benson Mayowa,ARI,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%
Haason Reddick,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Tre Boston,ARI,1,2,0,0.0%,,,0.0,,0.0,16.0,,,1,0,0,0.0,0,7,0,0.0%
