Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Mike Remmers,G,74,100%,0,0%,5,15%
Riley Reiff,T,74,100%,0,0%,5,15%
Tom Compton,G,74,100%,0,0%,5,15%
Rashod Hill,T,74,100%,0,0%,0,0%
Pat Elflein,C,74,100%,0,0%,0,0%
Kirk Cousins,QB,74,100%,0,0%,0,0%
Adam Thielen,WR,73,99%,0,0%,2,6%
Stefon Diggs,WR,63,85%,0,0%,0,0%
Kyle Rudolph,TE,60,81%,0,0%,5,15%
Laquon Treadwell,WR,46,62%,0,0%,1,3%
Latavius Murray,RB,41,55%,0,0%,0,0%
David Morgan,TE,23,31%,0,0%,2,6%
C.J. Ham,FB,20,27%,0,0%,20,61%
Dalvin Cook,RB,18,24%,0,0%,0,0%
Tyler Conklin,TE,9,12%,0,0%,13,39%
Aldrick Robinson,WR,8,11%,0,0%,0,0%
Roc Thomas,RB,4,5%,0,0%,14,42%
Mike Boone,RB,4,5%,0,0%,5,15%
Brandon Zylstra,WR,1,1%,0,0%,20,61%
Andrew Sendejo,SS,0,0%,55,100%,12,36%
Anthony Barr,LB,0,0%,55,100%,8,24%
Eric Kendricks,LB,0,0%,55,100%,8,24%
Harrison Smith,FS,0,0%,55,100%,7,21%
Danielle Hunter,DE,0,0%,51,93%,12,36%
Linval Joseph,NT,0,0%,49,89%,8,24%
Sheldon Richardson,DT,0,0%,47,85%,6,18%
Mike Hughes,CB,0,0%,46,84%,21,64%
Stephen Weatherly,DE,0,0%,45,82%,11,33%
Xavier Rhodes,CB,0,0%,42,76%,0,0%
Mackensie Alexander,CB,0,0%,29,53%,1,3%
Trae Waynes,CB,0,0%,24,44%,4,12%
Tashawn Bower,DE,0,0%,14,25%,2,6%
Jaleel Johnson,DT,0,0%,13,24%,2,6%
Holton Hill,CB,0,0%,12,22%,22,67%
Jayron Kearse,SS,0,0%,10,18%,20,61%
Ben Gedeon,LB,0,0%,2,4%,28,85%
Eric Wilson,LB,0,0%,1,2%,20,61%
George Iloka,FS,0,0%,0,0%,16,48%
Devante Downs,LB,0,0%,0,0%,15,45%
Dan Bailey,K,0,0%,0,0%,12,36%
Matt Wile,P,0,0%,0,0%,9,27%
Kevin McDermott,LS,0,0%,0,0%,7,21%
Danny Isidora,G,0,0%,0,0%,5,15%
Brett Jones,C,0,0%,0,0%,5,15%
Brian O'Neill,T,0,0%,0,0%,5,15%
