Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Doug Baldwin,SEA,8,6,91,0,4,69,11.5,22,3.7,16.0,0,,0,0.0,1,72.4
Tyler Lockett,SEA,4,3,13,1,1,4,1.3,9,3.0,1.0,0,,0,0.0,0,117.7
Rashaad Penny,SEA,2,2,27,0,1,-4,-2.0,31,15.5,-2.0,0,,0,0.0,0,118.7
David Moore,SEA,3,2,47,1,2,45,22.5,2,1.0,24.0,0,,0,0.0,0,149.3
Jaron Brown,SEA,1,1,5,1,1,5,5.0,0,0.0,5.0,0,,0,0.0,0,127.1
Tyrone Swoopes,SEA,1,1,23,0,1,8,8.0,15,15.0,8.0,0,,0,0.0,0,118.7
Brandon Marshall,SEA,1,1,11,0,1,8,8.0,3,3.0,8.0,0,,0,0.0,0,112.5
Mike Davis,SEA,3,1,5,0,0,-1,-1.0,6,6.0,1.0,1,1.0,1,33.3,0,42.4
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jalen Richard,OAK,8,7,48,0,1,-6,-0.9,54,7.7,-0.8,0,,0,0.0,0,91.7
Seth Roberts,OAK,6,5,31,0,2,0,0.0,31,6.2,1.2,0,,0,0.0,0,88.2
Marshawn Lynch,OAK,5,3,14,0,2,-5,-1.7,19,6.3,-1.4,0,,2,40.0,0,64.6
Jordy Nelson,OAK,3,2,6,0,1,5,2.5,1,0.5,8.3,0,,0,0.0,0,70.1
Jared Cook,OAK,2,2,10,0,1,0,0.0,10,5.0,0.0,0,,0,0.0,0,87.5
Martavis Bryant,OAK,3,2,18,0,1,-1,-0.5,19,9.5,15.7,0,,0,0.0,0,82.6
Dwayne Harris,OAK,1,1,7,0,,1,1.0,6,6.0,1.0,1,1.0,0,0.0,0,95.8
Doug Martin,OAK,1,1,8,0,,8,8.0,0,0.0,8.0,0,,0,0.0,0,100.0
Amari Cooper,OAK,1,0,0,0,,0,,0,,7.0,0,,1,100.0,0,39.6
