Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NWE 25,0,0,Sony Michel right tackle for 18 yards (tackle by Danny Trevathan),0.610,1.800
1,14:23,1,10,NWE 43,0,0,Tom Brady pass complete short right to Sony Michel for 13 yards (tackle by Kyle Fuller),1.800,2.650
1,13:42,1,10,CHI 44,0,0,Tom Brady pass complete short left to James White for 14 yards (tackle by Roquan Smith),2.650,3.580
1,13:05,1,10,CHI 30,0,0,James White left end for 6 yards (tackle by Prince Amukamara),3.580,3.840
1,12:28,2,4,CHI 24,0,0,Sony Michel left tackle for 6 yards (tackle by Bilal Nichols and Prince Amukamara),3.840,4.370
1,11:49,1,10,CHI 18,0,0,Tom Brady pass complete short right to Julian Edelman for 9 yards (tackle by Danny Trevathan),4.370,5.420
1,11:09,2,1,CHI 9,0,0,Tom Brady pass incomplete short middle,5.420,4.740
1,11:05,3,1,CHI 9,6,0,"Tom Brady pass complete short left to Julian Edelman for 9 yards, touchdown",4.740,7.000
1,11:00,,,CHI 15,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,11:00,,,NWE 35,7,0,"Stephen Gostkowski kicks off 66 yards, returned by Benny Cunningham for no gain (tackle by Nicholas Grigsby)",0.000,-0.060
1,10:56,1,10,CHI 17,7,0,Jordan Howard left guard for 2 yards (tackle by Trey Flowers),-0.060,-0.250
1,10:23,2,8,CHI 19,7,0,Tarik Cohen right end for 2 yards (tackle by Devin McCourty),-0.250,-0.750
1,9:44,,,,,,Timeout #1 by New England Patriots,,
1,9:44,3,6,CHI 21,7,0,Mitchell Trubisky right guard for 14 yards (tackle by Devin McCourty),-0.750,1.270
1,9:04,1,10,CHI 35,7,0,Mitchell Trubisky pass incomplete deep right intended for Allen Robinson,1.270,0.720
1,8:58,2,10,CHI 35,7,0,Mitchell Trubisky pass incomplete short right intended for Allen Robinson,0.720,0.040
1,8:50,3,10,CHI 35,7,0,Mitchell Trubisky pass incomplete short right intended for Tarik Cohen (defended by Trey Flowers),0.040,-1.040
