Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Joe Looney,C,66,100%,0,0%,4,14%
Zack Martin,G,66,100%,0,0%,4,14%
Tyron Smith,T,66,100%,0,0%,4,14%
La'el Collins,T,66,100%,0,0%,4,14%
Connor Williams,G,66,100%,0,0%,4,14%
Ezekiel Elliott,RB,66,100%,0,0%,0,0%
Dak Prescott,QB,66,100%,0,0%,0,0%
Michael Gallup,WR,56,85%,0,0%,0,0%
Allen Hurns,WR,54,82%,0,0%,0,0%
Cole Beasley,WR,53,80%,0,0%,6,21%
Geoff Swaim,TE,47,71%,0,0%,10,36%
Dalton Schultz,TE,19,29%,0,0%,6,21%
Deonte Thompson,WR,15,23%,0,0%,5,18%
Blake Jarwin,TE,9,14%,0,0%,12,43%
Rico Gathers,TE,7,11%,0,0%,1,4%
Brice Butler,WR,2,3%,0,0%,0,0%
Jourdan Lewis,CB,1,2%,12,20%,9,32%
Jamize Olawale,FB,1,2%,0,0%,16,57%
Jeff Heath,SS,0,0%,60,100%,19,68%
Byron Jones,CB,0,0%,60,100%,14,50%
Xavier Woods,FS,0,0%,60,100%,5,18%
Jaylon Smith,LB,0,0%,58,97%,7,25%
DeMarcus Lawrence,DE,0,0%,51,85%,4,14%
Anthony Brown,CB,0,0%,48,80%,11,39%
Sean Lee,LB,0,0%,38,63%,4,14%
Antwaun Woods,NT,0,0%,38,63%,2,7%
David Irving,DE,0,0%,34,57%,7,25%
Tyrone Crawford,DE,0,0%,32,53%,7,25%
Randy Gregory,DE,0,0%,31,52%,4,14%
Maliek Collins,DT,0,0%,25,42%,1,4%
Chidobe Awuzie,CB,0,0%,22,37%,0,0%
Damien Wilson,LB,0,0%,21,35%,24,86%
Leighton Vander Esch,LB,0,0%,21,35%,12,43%
Taco Charlton,DE,0,0%,20,33%,1,4%
Kavon Frazier,SS,0,0%,19,32%,16,57%
Dorance Armstrong Jr.,DE,0,0%,8,13%,8,29%
C.J. Goodwin,CB,0,0%,2,3%,12,43%
Rod Smith,RB,0,0%,0,0%,17,61%
Justin March,LB,0,0%,0,0%,12,43%
Chris Jones,P,0,0%,0,0%,9,32%
L.P. Ladouceur,LS,0,0%,0,0%,9,32%
Brett Maher,K,0,0%,0,0%,8,29%
Darian Thompson,FS,0,0%,0,0%,6,21%
Adam Redmond,G,0,0%,0,0%,4,14%
