Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
C.J. Mosley,BAL,0,6,3,50.0%,47,15.7,7.8,1,116.0,7.3,40,7,2,0,0,0.0,0,11,3,21.4%
Tony Jefferson,BAL,0,5,3,60.0%,94,31.3,18.8,1,143.7,14.8,74,20,0,0,0,0.0,0,7,1,12.5%
Jimmy Smith,BAL,0,5,2,40.0%,45,22.5,9.0,0,72.9,10.6,39,6,0,0,0,0.0,0,6,2,25.0%
Matt Judon,BAL,0,5,1,20.0%,16,16.0,3.2,0,40.4,-0.6,-10,26,3,1,0,0.0,1,10,0,0.0%
Tavon Young,BAL,0,3,1,33.3%,-2,-2.0,-0.7,0,42.4,5.3,-2,0,0,0,0,0.0,0,2,0,0.0%
Brent Urban,BAL,0,0,0,,,,,,,,,,0,2,0,0.0,2,3,1,25.0%
Kenny Young,BAL,0,0,0,,,,,,,,,,2,0,1,0.0,1,2,0,0.0%
Za'Darius Smith,BAL,0,0,0,,,,,,,,,,1,0,1,0.0,1,2,0,0.0%
Patrick Ricard,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Michael Pierce,BAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Eric Weddle,BAL,0,1,0,0.0%,,,0.0,,39.6,-5.0,,,1,0,0,0.0,0,6,0,0.0%
Chuck Clark,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Terrell Suggs,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Anthony Levine,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Brandon Carr,BAL,0,2,0,0.0%,37,,18.5,0,79.2,12.5,25,12,0,0,0,0.0,0,2,0,0.0%
Patrick Onwuasor,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Shaq Thompson,CAR,0,8,3,37.5%,37,12.3,4.6,0,52.6,2.9,16,21,4,1,0,0.0,1,13,0,0.0%
Captain Munnerlyn,CAR,1,7,2,28.6%,28,14.0,4.0,0,4.2,6.1,7,21,1,0,0,0.0,0,3,2,40.0%
Mike Adams,CAR,1,3,2,66.7%,50,25.0,16.7,1,109.7,9.3,28,22,1,0,0,0.0,0,3,1,25.0%
James Bradberry,CAR,0,11,2,18.2%,64,32.0,5.8,1,81.6,18.0,54,10,0,0,0,0.0,0,6,0,0.0%
Luke Kuechly,CAR,0,3,1,33.3%,10,10.0,3.3,0,43.7,8.0,2,8,8,1,2,0.0,3,5,0,0.0%
Eric Reid,CAR,0,2,1,50.0%,16,16.0,8.0,0,77.1,6.0,12,4,2,0,0,1.0,1,7,1,12.5%
Colin Jones,CAR,0,1,1,100.0%,7,7.0,7.0,0,95.8,8.0,8,-1,0,0,0,0.0,0,1,0,0.0%
Jermaine Carter Jr.,CAR,0,1,1,100.0%,6,6.0,6.0,0,91.7,6.0,6,0,0,0,0,0.0,0,1,0,0.0%
Dontari Poe,CAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Julius Peppers,CAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Donte Jackson,CAR,0,5,0,0.0%,13,,2.6,0,39.6,15.2,5,8,1,0,0,1.0,1,3,0,0.0%
Kyle Love,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Thomas Davis,CAR,0,2,0,0.0%,,,0.0,,39.6,0.0,,,4,0,0,0.0,0,5,0,0.0%
