Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Darryl Roberts,NYJ,0,8,3,37.5%,38,12.7,4.8,0,53.1,14.8,35,3,0,0,0,0.0,0,5,0,0.0%
Morris Claiborne,NYJ,0,7,3,42.9%,35,11.7,5.0,0,58.6,8.3,18,17,0,0,0,0.0,0,2,1,33.3%
Avery Williamson,NYJ,0,3,3,100.0%,31,10.3,10.3,0,109.7,5.3,16,15,2,0,0,0.0,0,8,0,0.0%
Jamal Adams,NYJ,0,3,2,66.7%,18,9.0,6.0,0,82.6,2.7,3,15,4,0,0,0.0,0,6,2,25.0%
Jordan Jenkins,NYJ,0,2,2,100.0%,8,4.0,4.0,0,83.3,0.5,1,7,6,0,0,0.0,0,2,0,0.0%
Buster Skrine,NYJ,0,3,2,66.7%,18,9.0,6.0,1,122.2,17.7,18,0,3,0,0,0.0,0,2,0,0.0%
Darron Lee,NYJ,0,3,1,33.3%,10,10.0,3.3,0,43.7,6.0,9,1,7,0,0,0.0,0,4,1,20.0%
Henry Anderson,NYJ,0,0,0,,,,,,,,,,0,2,0,0.0,2,2,0,0.0%
Mike Pennel,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Frankie Luvu,NYJ,0,0,0,,,,,,,,,,2,0,0,1.0,1,1,0,0.0%
Nathan Shepherd,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Brandon Copeland,NYJ,0,0,0,,,,,,,,,,10,0,0,1.0,1,2,0,0.0%
Tarell Basham,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Jeremiah Attaochu,NYJ,0,0,0,,,,,,,,,,1,0,1,0.0,1,1,1,50.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Danny Trevathan,CHI,0,4,3,75.0%,34,11.3,8.5,1,139.6,5.3,15,19,2,1,0,0.0,1,7,1,12.5%
Prince Amukamara,CHI,0,4,3,75.0%,32,10.7,8.0,0,97.9,7.0,25,7,0,0,0,0.0,0,2,0,0.0%
Bryce Callahan,CHI,0,6,2,33.3%,23,11.5,3.8,0,45.8,10.3,17,6,3,1,0,1.0,2,4,0,0.0%
Roquan Smith,CHI,0,2,2,100.0%,4,2.0,2.0,0,79.2,0.5,1,3,1,0,0,0.0,0,5,1,16.7%
Kyle Fuller,CHI,0,3,2,66.7%,43,21.5,14.3,0,109.7,12.0,33,10,0,0,0,0.0,0,1,0,0.0%
Adrian Amos,CHI,0,3,1,33.3%,14,14.0,4.7,0,49.3,14.0,10,4,0,0,0,0.0,0,3,0,0.0%
Eddie Jackson,CHI,0,3,1,33.3%,7,7.0,2.3,0,42.4,6.0,6,1,0,0,0,0.0,0,1,2,66.7%
Bilal Nichols,CHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Akiem Hicks,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Eddie Goldman,CHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%
Aaron Lynch,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Isaiah Irving,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Leonard Floyd,CHI,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,1,33.3%
