Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Adrian Amos,CHI,1,1,0,1,3,1.0,7,6,1,1,1,0,0,0,0
Leonard Floyd,CHI,1,19,1,19,1,0.0,4,1,3,0,1,0,0,0,0
Kyle Fuller,CHI,1,3,0,3,4,0.0,3,1,2,0,0,0,0,0,0
Isaiah Irving,CHI,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Aaron Lynch,CHI,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Roy Robertson-Harris,CHI,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Roquan Smith,CHI,0,0,0,0,0,0.0,12,10,2,0,0,0,0,0,0
Danny Trevathan,CHI,0,0,0,0,0,0.0,12,7,5,2,1,0,0,0,0
Eddie Jackson,CHI,0,0,0,0,0,0.0,6,5,1,1,0,1,65,1,1
Prince Amukamara,CHI,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Eddie Goldman,CHI,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Bryce Callahan,CHI,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Akiem Hicks,CHI,0,0,0,0,0,0.0,4,2,2,1,1,0,0,0,0
Joel Iyiegbuniwe,CHI,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Jonathan Bullard,CHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nick Williams,CHI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Deon Bush,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Kwiatkoski,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Sherrick McManis,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Patrick Scales,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kevin Toliver,CHI,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Eric Kush,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Tre'Davious White,BUF,1,37,0,37,1,0.0,3,2,1,0,0,0,0,0,0
Julian Stanford,BUF,0,0,0,0,0,1.0,8,7,1,0,1,0,0,0,1
Shaq Lawson,BUF,0,0,0,0,0,0.0,7,4,3,0,2,0,0,0,0
Phillip Gaines,BUF,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Eddie Yarbrough,BUF,0,0,0,0,0,0.0,4,4,0,2,0,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,0,0.0,3,3,0,2,0,0,0,0,0
Patrick DiMarco,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
Taron Johnson,BUF,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Matt Milano,BUF,0,0,0,0,0,0.0,2,2,0,2,0,0,0,0,0
Harrison Phillips,BUF,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Micah Hyde,BUF,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Deon Lacey,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kyle Williams,BUF,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
