Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Damontae Kazee,ATL,1,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Jack Crawford,ATL,0,0,0,0,0,2.0,4,4,0,2,1,0,0,0,0
Grady Jarrett,ATL,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0
Bruce Carter,ATL,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Foyesade Oluokun,ATL,0,0,0,0,0,0.0,6,5,1,1,1,0,0,0,0
Brian Poole,ATL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
De'Vondre Campbell,ATL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Sharrod Neasman,ATL,0,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
Isaiah Oliver,ATL,0,0,0,0,2,0.0,4,3,1,0,0,0,0,0,0
Duke Riley,ATL,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Justin Bethel,ATL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jordan Richards,ATL,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Keith Tandy,ATL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Desmond Trufant,ATL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Russell Gage,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kemal Ishmael,ATL,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Takkarist McKinley,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Eric Saubert,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Deadrin Senat,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Derrick Shelby,ATL,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Vic Beasley,ATL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Brooks Reed,ATL,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Blidi Wreh-Wilson,ATL,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Quinton Dunbar,WAS,1,24,0,24,3,0.0,6,5,1,0,0,0,0,0,0
Matthew Ioannidis,WAS,0,0,0,0,0,1.0,7,6,1,1,1,0,0,0,0
Ryan Kerrigan,WAS,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Ha Ha Clinton-Dix,WAS,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Josh Norman,WAS,0,0,0,0,2,0.0,6,3,3,0,0,0,0,0,0
Mason Foster,WAS,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Fabian Moreau,WAS,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
Montae Nicholson,WAS,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jonathan Allen,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Zach Brown,WAS,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Josh Harvey-Clemons,WAS,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Danny Johnson,WAS,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Ryan Anderson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jehu Chesson,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Pernell McPhee,WAS,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Daron Payne,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Preston Smith,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
