Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kyler Fackrell,GNB,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Blake Martinez,GNB,0,0,0,0,0,0.0,9,6,3,0,0,0,0,0,0
Darnell Savage Jr.,GNB,0,0,0,0,0,0.0,8,5,3,1,0,0,0,0,0
B.J. Goodson,GNB,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Za'Darius Smith,GNB,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Adrian Amos,GNB,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Jaire Alexander,GNB,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Kingsley Keke,GNB,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Ibraheim Campbell,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Tyler Lancaster,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Will Redmond,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Preston Smith,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Tramon Williams,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Jackson,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kevin King,GNB,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
Dean Lowry,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Billy Turner,GNB,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Emmanuel Moseley,SFO,1,9,0,9,1,0.0,4,4,0,1,0,0,0,0,0
Richard Sherman,SFO,1,3,0,3,1,0.0,3,2,1,0,0,0,0,0,0
K'Waun Williams,SFO,0,0,0,0,0,1.0,7,7,0,1,0,0,0,0,1
Nick Bosa,SFO,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Arik Armstead,SFO,0,0,0,0,0,1.0,3,3,0,0,1,0,0,0,1
Jaquiski Tartt,SFO,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Dre Greenlaw,SFO,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Fred Warner,SFO,0,0,0,0,1,0.0,6,2,4,0,0,0,0,0,0
DeForest Buckner,SFO,0,0,0,0,0,0.0,4,4,0,0,0,1,0,0,0
Jimmie Ward,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Kwon Alexander,SFO,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Ahkello Witherspoon,SFO,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dee Ford,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Elijah Lee,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Earl Mitchell,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Solomon Thomas,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Anthony Zettel,SFO,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
