Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Evan Engram,NYG,14,11,116,1,8,59,5.4,57,5.2,5.1,1,11.0,0,0.0,0,125.0
Sterling Shepard,NYG,7,6,42,0,3,11,1.8,31,5.2,3.0,1,6.0,0,0.0,0,91.7
Bennie Fowler,NYG,5,5,40,0,2,28,5.6,12,2.4,5.6,0,,0,0.0,0,100.0
Saquon Barkley,NYG,6,4,19,0,0,3,0.8,16,4.0,0.2,0,,0,0.0,0,70.8
Wayne Gallman,NYG,3,3,24,0,1,0,0.0,24,8.0,0.0,0,,0,0.0,0,100.0
Cody Latimer,NYG,7,3,74,0,2,59,19.7,15,5.0,17.1,0,,0,0.0,0,81.8
Rhett Ellison,NYG,2,1,8,0,,2,2.0,6,6.0,15.5,0,,0,0.0,0,60.4
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Michael Gallup,DAL,7,7,158,0,5,82,11.7,76,10.9,11.7,2,3.5,0,0.0,0,118.7
Amari Cooper,DAL,9,6,106,1,5,89,14.8,17,2.8,12.3,0,,2,22.2,0,143.7
Randall Cobb,DAL,5,4,69,1,4,28,7.0,41,10.3,7.0,1,4.0,0,0.0,0,158.3
Blake Jarwin,DAL,3,3,39,1,1,32,10.7,7,2.3,10.7,0,,0,0.0,0,158.3
Jason Witten,DAL,4,3,15,1,1,-1,-0.3,16,5.3,0.8,0,,0,0.0,0,119.8
Tavon Austin,DAL,1,1,8,0,1,6,6.0,2,2.0,6.0,0,,0,0.0,0,100.0
Ezekiel Elliott,DAL,2,1,10,0,1,-4,-4.0,14,14.0,0.0,0,,1,50.0,0,64.6
Jamize Olawale,DAL,1,0,0,0,,0,,0,,32.0,0,,0,0.0,0,39.6
