Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Joe Haden,PIT,0,8,6,75.0%,79,13.2,9.9,1,145.3,5.6,30,49,0,0,0,0.0,0,6,1,14.3%
Mark Barron,PIT,0,8,5,62.5%,36,7.2,4.5,0,72.9,1.6,7,29,1,0,0,0.0,0,7,0,0.0%
Devin Bush Jr.,PIT,0,7,4,57.1%,30,7.5,4.3,0,67.6,2.6,14,16,1,0,0,0.0,0,11,0,0.0%
Kameron Kelly,PIT,0,3,3,100.0%,89,29.7,29.7,1,158.3,21.3,64,25,1,0,0,0.0,0,7,2,22.2%
Terrell Edmunds,PIT,0,4,3,75.0%,73,24.3,18.3,1,156.2,21.0,70,3,1,0,0,0.0,0,7,1,12.5%
Mike Hilton,PIT,0,3,2,66.7%,42,21.0,14.0,1,149.3,18.0,38,4,1,0,1,0.0,1,5,0,0.0%
Vince Williams,PIT,0,2,2,100.0%,48,24.0,24.0,0,118.7,21.5,43,5,1,0,0,0.0,0,3,0,0.0%
Bud Dupree,PIT,0,1,1,100.0%,32,32.0,32.0,0,118.7,-6.0,-6,38,2,1,0,1.0,2,4,1,20.0%
Cameron Sutton,PIT,0,1,1,100.0%,13,13.0,13.0,0,118.7,6.0,6,7,0,0,0,0.0,0,1,1,50.0%
T.J. Watt,PIT,0,0,0,,,,,,,,,,1,4,3,0.0,7,2,0,0.0%
Cameron Heyward,PIT,0,1,0,0.0%,,,0.0,,39.6,3.0,,,0,1,0,0.0,1,7,1,12.5%
Stephon Tuitt,PIT,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,1,33.3%
Steven Nelson,PIT,0,1,0,0.0%,,,0.0,,39.6,23.0,,,1,0,0,0.0,0,3,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jamie Collins,NWE,0,5,5,100.0%,61,12.2,12.2,0,117.5,2.0,10,51,4,0,1,0.0,1,6,2,25.0%
Jason McCourty,NWE,0,12,5,41.7%,73,14.6,6.1,0,62.2,13.8,45,28,0,0,0,0.0,0,7,0,0.0%
Stephon Gilmore,NWE,0,6,4,66.7%,43,10.8,7.2,0,87.5,7.3,32,11,0,0,0,0.0,0,6,2,25.0%
Patrick Chung,NWE,0,5,4,80.0%,17,4.3,3.4,0,80.8,1.6,4,13,2,0,0,0.0,0,6,0,0.0%
J.C. Jackson,NWE,0,5,4,80.0%,52,13.0,10.4,0,110.0,9.2,33,19,0,0,0,0.0,0,1,0,0.0%
Jonathan Jones,NWE,0,9,3,33.3%,19,6.3,2.1,0,42.4,19.0,8,11,0,0,0,0.0,0,3,0,0.0%
Chase Winovich,NWE,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,1,5,0,0.0,5,1,0,0.0%
Ja'Whaun Bentley,NWE,0,1,1,100.0%,2,2.0,2.0,0,79.2,-1.0,-1,3,2,0,0,0.0,0,3,0,0.0%
Shilique Calhoun,NWE,0,0,0,,,,,,,,,,3,2,1,0.0,3,1,0,0.0%
Deatrich Wise Jr.,NWE,0,0,0,,,,,,,,,,0,2,0,1.0,3,1,0,0.0%
Danny Shelton,NWE,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Dont'a Hightower,NWE,0,0,0,,,,,,,,,,3,0,0,0.0,0,6,0,0.0%
Duron Harmon,NWE,0,1,0,0.0%,,,0.0,,39.6,4.0,,,6,0,0,0.0,0,1,0,0.0%
