Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Darren Waller,OAK,9,7,100,0,4,66,9.4,34,4.9,9.1,2,3.5,0,0.0,1,73.4
DeAndre Washington,OAK,3,3,44,0,1,7,2.3,37,12.3,2.3,0,,0,0.0,0,118.7
Derek Carrier,OAK,2,2,10,1,2,4,2.0,6,3.0,2.0,0,,0,0.0,0,127.1
Alec Ingold,OAK,2,2,13,0,1,1,0.5,12,6.0,0.5,0,,0,0.0,0,93.7
Zay Jones,OAK,3,2,14,0,,9,4.5,5,2.5,11.7,0,,0,0.0,0,77.1
Keelan Doss,OAK,1,1,11,0,1,0,0.0,11,11.0,0.0,0,,0,0.0,0,112.5
Foster Moreau,OAK,1,1,15,0,1,0,0.0,15,15.0,0.0,1,1.0,0,0.0,0,118.7
Jalen Richard,OAK,2,1,6,0,1,4,4.0,2,2.0,2.0,0,,0,0.0,0,56.2
Tyrell Williams,OAK,4,1,9,0,,2,2.0,7,7.0,6.8,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,KAN,8,5,55,0,4,18,3.6,37,7.4,7.4,0,,1,12.5,0,82.8
Travis Kelce,KAN,9,5,90,0,4,62,12.4,28,5.6,13.3,0,,2,22.2,0,90.0
LeSean McCoy,KAN,3,3,20,0,0,-3,-1.0,23,7.7,-1.0,0,,0,0.0,0,94.4
Anthony Sherman,KAN,1,1,7,0,1,3,3.0,4,4.0,3.0,0,,0,0.0,0,95.8
Darrel Williams,KAN,2,1,3,1,1,-5,-5.0,8,8.0,-1.5,0,,0,0.0,0,95.8
Blake Bell,KAN,1,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6
Sammy Watkins,KAN,3,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6
