Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Matt Feiler,T,56,100%,0,0%,4,17%
B.J. Finney,C,56,100%,0,0%,4,17%
Ramon Foster,G,56,100%,0,0%,4,17%
David DeCastro,G,56,100%,0,0%,4,17%
Alejandro Villanueva,T,56,100%,0,0%,4,17%
Devlin Hodges,QB,56,100%,0,0%,0,0%
Vance McDonald,TE,48,86%,0,0%,4,17%
James Washington,WR,40,71%,0,0%,0,0%
Diontae Johnson,WR,36,64%,0,0%,3,13%
Jaylen Samuels,RB,32,57%,0,0%,11,46%
Nick Vannett,TE,22,39%,0,0%,8,33%
Tevin Jones,WR,22,39%,0,0%,0,0%
Benny Snell Jr.,RB,20,36%,0,0%,0,0%
Zach Banner,T,18,32%,0,0%,0,0%
Johnny Holton,WR,17,30%,0,0%,16,67%
Deon Cain,WR,14,25%,0,0%,0,0%
Kerrith Whyte Jr,RB,8,14%,0,0%,4,17%
Trey Edmunds,RB,3,5%,0,0%,16,67%
Minkah Fitzpatrick,SS,0,0%,66,100%,4,17%
Terrell Edmunds,SS,0,0%,66,100%,4,17%
Joe Haden,CB,0,0%,66,100%,4,17%
Steven Nelson,CB,0,0%,66,100%,4,17%
Bud Dupree,LB,0,0%,64,97%,4,17%
T.J. Watt,LB,0,0%,62,94%,4,17%
Cameron Heyward,DT,0,0%,54,82%,8,33%
Mike Hilton,CB,0,0%,51,77%,5,21%
Mark Barron,LB,0,0%,51,77%,0,0%
Devin Bush Jr.,LB,0,0%,49,74%,4,17%
Javon Hargrave,NT,0,0%,46,70%,1,4%
Tyson Alualu,DE,0,0%,25,38%,4,17%
Vince Williams,LB,0,0%,25,38%,0,0%
Cameron Sutton,CB,0,0%,17,26%,7,29%
Isaiah Buggs,DE,0,0%,8,12%,0,0%
Anthony Chickillo,LB,0,0%,4,6%,16,67%
Daniel McCullers,NT,0,0%,4,6%,3,13%
Olasunkanmi Adeniyi,LB,0,0%,2,3%,13,54%
Tyler Matakevich,LB,0,0%,0,0%,20,83%
Jordan Dangerfield,SS,0,0%,0,0%,16,67%
Robert Spillane,LB,0,0%,0,0%,16,67%
Kameron Kelly,FS,0,0%,0,0%,12,50%
Chris Boswell,K,0,0%,0,0%,9,38%
Justin Layne,CB,0,0%,0,0%,8,33%
Kameron Canaday,LS,0,0%,0,0%,8,33%
Jordan Berry,P,0,0%,0,0%,8,33%
