Quarter,Time,Tm,Detail,NOR,TEN
1.0,7:55,Titans,Jonnu Smith 41 yard pass from Ryan Tannehill (Greg Joseph kick),0,7
,4:50,Titans,A.J. Brown 49 yard rush (Greg Joseph kick),0,14
2.0,13:36,Saints,Wil Lutz 47 yard field goal,3,14
,2:23,Saints,Jared Cook 61 yard pass from Drew Brees (Wil Lutz kick),10,14
3.0,14:00,Saints,Alvin Kamara 40 yard rush (Wil Lutz kick),17,14
,7:08,Saints,Alvin Kamara 1 yard rush (Wil Lutz kick),24,14
,4:25,Titans,Tajae Sharpe 36 yard pass from Ryan Tannehill (Greg Joseph kick),24,21
,1:18,Saints,Jared Cook 16 yard pass from Drew Brees (Wil Lutz kick),31,21
4.0,7:27,Titans,Tajae Sharpe 7 yard pass from Ryan Tannehill (Greg Joseph kick),31,28
,2:10,Saints,Michael Thomas 2 yard pass from Drew Brees (Wil Lutz kick),38,28
