Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Michael Davis,LAC,1,15,0,15,2,0.0,2,2,0,0,0,0,0,0,0
Derwin James,LAC,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Denzel Perryman,LAC,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Drue Tranquill,LAC,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Adrian Phillips,LAC,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Joey Bosa,LAC,0,0,0,0,0,0.0,3,1,2,0,2,0,0,0,0
Rayshawn Jenkins,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Damion Square,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jatavis Brown,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Dzubnar,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Melvin Ingram,LAC,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Justin Jones,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Desmond King,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Mebane,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Uchenna Nwosu,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jerry Tillery,LAC,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Kyzir White,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Thomas Davis,LAC,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Tyrann Mathieu,KAN,1,0,0,0,2,0.0,7,7,0,0,0,0,0,0,0
Daniel Sorensen,KAN,1,6,0,6,1,0.0,5,4,1,0,0,0,0,0,0
Frank Clark,KAN,0,0,0,0,1,1.0,2,1,1,1,3,0,0,0,0
Chris Jones,KAN,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
Terrell Suggs,KAN,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
Anthony Hitchens,KAN,0,0,0,0,0,0.0,10,5,5,2,0,0,0,0,0
Charvarius Ward,KAN,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Kendall Fuller,KAN,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Ben Niemann,KAN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Mike Pennel,KAN,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Armani Watts,KAN,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Damien Wilson,KAN,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Bashaud Breeland,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Derrick Nnadi,KAN,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Reggie Ragland,KAN,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Tanoh Kpassagnon,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Darron Lee,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Darwin Thompson,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Juan Thornhill,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Rashad Fenton,KAN,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
Demone Harris,KAN,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
