Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Jameis Winston pass complete short left to Chris Godwin for 22 yards (tackle by Luke Kuechly and Donte Jackson),0.610,2.060
1,14:25,1,10,TAM 47,0,0,Peyton Barber left end for -4 yards (tackle by Luke Kuechly). Penalty on Donovan Smith: Offensive Holding (Declined),2.060,0.980
1,13:56,2,14,TAM 43,0,0,Jameis Winston pass complete short right to Mike Evans for no gain (tackle by Shaq Thompson),0.980,0.300
1,13:16,3,14,TAM 43,0,0,Jameis Winston pass incomplete short left intended for Breshad Perriman,0.300,-0.520
1,13:12,4,14,TAM 43,0,0,"Bradley Pinion punts 47 yards, muffed catch by Ray-Ray McCloud, recovered by Ray-Ray McCloud at CAR-10, returned by Ray-Ray McCloud for no gain (tackle by Kevin Minter and Antony Auclair)",-0.520,0.380
1,13:01,1,10,CAR 10,0,0,Cam Newton pass complete short right to D.J. Moore for 12 yards (tackle by Carlton Davis),-0.380,0.410
1,12:29,1,10,CAR 22,0,0,Christian McCaffrey right end for 10 yards (tackle by Lavonte David and Jordan Whitehead),0.410,1.070
1,11:50,1,10,CAR 32,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Devin White and William Gholston),1.070,0.930
1,11:15,2,7,CAR 35,0,0,Cam Newton pass complete short left to Curtis Samuel for 3 yards (tackle by Carlton Davis),0.930,0.630
1,10:40,3,4,CAR 38,0,0,Cam Newton pass complete short left to Christian McCaffrey for 6 yards (tackle by Mike Edwards),0.630,1.860
1,10:12,1,10,CAR 44,0,0,Christian McCaffrey up the middle for 6 yards (tackle by William Gholston and Devin White),1.860,2.130
1,9:51,2,4,CAR 50,0,0,Christian McCaffrey up the middle for -3 yards (tackle by William Gholston),2.130,1.030
1,9:08,3,7,CAR 47,0,0,Cam Newton pass complete short right to Jarius Wright for 6 yards (tackle by Carlton Davis),1.030,0.130
1,8:40,4,1,TAM 47,0,0,Cam Newton right end for no gain (tackle by Jordan Whitehead),0.130,-2.060
1,8:31,1,10,TAM 47,0,0,Peyton Barber right guard for 2 yards (tackle by Luke Kuechly and Brian Burns),2.060,1.790
1,7:50,2,8,TAM 49,0,0,Jameis Winston pass complete deep left to Chris Godwin for 22 yards (tackle by Donte Jackson),1.790,3.640
1,7:08,1,10,CAR 29,0,0,Peyton Barber left guard for 6 yards (tackle by Donte Jackson),3.640,3.910
1,6:30,2,4,CAR 23,0,0,Peyton Barber up the middle for 2 yards (tackle by Luke Kuechly and Gerald McCoy),3.910,3.470
1,5:46,3,2,CAR 21,0,0,Jameis Winston pass incomplete deep left intended for Mike Evans,3.470,2.180
1,5:40,4,2,CAR 21,3,0,Matt Gay 40 yard field goal good,2.180,3.000
1,5:36,,,TAM 35,3,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
