Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jonathan Jones,NWE,0,7,5,71.4%,50,10.0,7.1,0,91.4,8.3,27,23,0,0,0,0.0,0,4,0,0.0%
Stephon Gilmore,NWE,1,8,3,37.5%,32,10.7,4.0,0,10.4,12.6,20,12,0,0,0,0.0,0,2,0,0.0%
Ja'Whaun Bentley,NWE,0,3,2,66.7%,8,4.0,2.7,0,70.1,2.7,4,4,3,1,0,0.0,1,2,0,0.0%
Duron Harmon,NWE,0,2,2,100.0%,34,17.0,17.0,0,118.7,14.5,29,5,2,0,1,0.0,1,2,0,0.0%
Jason McCourty,NWE,0,4,2,50.0%,19,9.5,4.8,0,63.5,19.0,12,7,0,0,0,0.0,0,4,0,0.0%
Jamie Collins,NWE,2,2,1,50.0%,6,6.0,3.0,0,16.7,6.0,5,1,5,0,0,0.5,1,6,0,0.0%
Elandon Roberts,NWE,0,1,1,100.0%,6,6.0,6.0,0,91.7,3.0,3,3,4,0,0,0.0,0,5,0,0.0%
Patrick Chung,NWE,0,2,1,50.0%,11,11.0,5.5,0,66.7,7.0,8,3,2,0,0,0.0,0,2,0,0.0%
J.C. Jackson,NWE,0,6,1,16.7%,14,14.0,2.3,0,39.6,22.2,14,0,0,0,0,0.0,0,2,0,0.0%
Dont'a Hightower,NWE,0,2,1,50.0%,6,6.0,3.0,0,56.2,2.5,3,3,5,0,0,0.0,0,3,0,0.0%
Danny Shelton,NWE,0,0,0,,,,,,,,,,0,1,1,1.0,3,1,0,0.0%
Michael Bennett,NWE,0,0,0,,,,,,,,,,0,0,1,1.0,2,1,0,0.0%
Chase Winovich,NWE,0,0,0,,,,,,,,,,0,0,0,1.5,2,2,0,0.0%
Adam Butler,NWE,0,0,0,,,,,,,,,,0,0,0,2.0,2,4,0,0.0%
Shilique Calhoun,NWE,0,0,0,,,,,,,,,,3,0,1,0.0,1,2,0,0.0%
John Simon,NWE,0,0,0,,,,,,,,,,1,0,0,1.0,1,1,0,0.0%
Kyle Van Noy,NWE,0,0,0,,,,,,,,,,5,0,0,0.0,0,0,1,100.0%
Devin McCourty,NWE,1,2,0,0.0%,,,0.0,,0.0,19.5,,,0,0,0,0.0,0,2,0,0.0%
Terrence Brooks,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jerome Baker,MIA,0,4,4,100.0%,70,17.5,17.5,0,118.7,10.3,37,33,3,0,0,0.0,0,11,1,8.3%
Jamal Perry,MIA,0,5,4,80.0%,58,14.5,11.6,1,154.6,13.8,50,8,1,0,0,0.0,0,4,1,20.0%
Eric Rowe,MIA,0,6,4,66.7%,54,13.5,9.0,0,95.1,9.7,44,10,0,0,0,0.0,0,5,0,0.0%
Xavien Howard,MIA,0,6,2,33.3%,19,9.5,3.2,0,43.1,10.5,9,10,0,0,0,0.0,0,4,1,20.0%
Bobby McCain,MIA,0,2,2,100.0%,16,8.0,8.0,0,100.0,7.5,15,1,1,0,0,0.0,0,7,0,0.0%
Chris Lammons,MIA,0,2,2,100.0%,11,5.5,5.5,0,89.6,0.0,0,11,0,0,0,0.0,0,1,1,50.0%
Steven Parker,MIA,0,1,1,100.0%,10,10.0,10.0,1,147.9,-2.0,-2,12,0,0,0,0.0,0,1,0,0.0%
Ken Webster,MIA,0,1,1,100.0%,8,8.0,8.0,0,100.0,8.0,8,0,0,0,0,0.0,0,1,0,0.0%
Minkah Fitzpatrick,MIA,0,1,1,100.0%,18,18.0,18.0,0,118.7,12.0,12,6,0,0,0,0.0,0,6,1,14.3%
Vince Biegel,MIA,0,0,0,,,,,,,,,,2,0,1,1.0,2,1,0,0.0%
John Jenkins,MIA,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Avery Moss,MIA,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
Raekwon McMillan,MIA,0,0,0,,,,,,,,,,3,0,0,0.0,0,4,0,0.0%
Samuel Eguavoen,MIA,0,0,0,,,,,,,,,,4,0,0,0.0,0,4,0,0.0%
