Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Joel Bitonio,G,67,100%,0,0%,6,21%
Eric Kush,G,67,100%,0,0%,6,21%
J.C. Tretter,C,67,100%,0,0%,6,21%
Baker Mayfield,QB,67,100%,0,0%,0,0%
Greg Robinson,T,66,99%,0,0%,6,21%
Chris Hubbard,T,66,99%,0,0%,0,0%
Odell Beckham Jr.,WR,64,96%,0,0%,0,0%
Jarvis Landry,WR,51,76%,0,0%,3,11%
Demetrius Harris,TE,45,67%,0,0%,8,29%
Damion Ratley,WR,44,66%,0,0%,4,14%
Nick Chubb,RB,42,63%,0,0%,0,0%
Pharaoh Brown,TE,32,48%,0,0%,16,57%
Dontrell Hilliard,RB,25,37%,0,0%,16,57%
Ricky Seals-Jones,TE,20,30%,0,0%,1,4%
Taywan Taylor,WR,9,13%,0,0%,12,43%
Justin McCray,G,3,4%,0,0%,6,21%
KhaDarel Hodge,WR,1,1%,0,0%,18,64%
Austin Corbett,C,1,1%,0,0%,6,21%
Jermaine Whitehead,FS,0,0%,69,100%,5,18%
Joe Schobert,LB,0,0%,69,100%,5,18%
Mack Wilson,LB,0,0%,69,100%,4,14%
Damarious Randall,FS,0,0%,69,100%,0,0%
Terrance Mitchell,CB,0,0%,68,99%,4,14%
T.J. Carrie,CB,0,0%,68,99%,3,11%
Eric Murray,FS,0,0%,58,84%,4,14%
Myles Garrett,DE,0,0%,48,70%,2,7%
Larry Ogunjobi,DT,0,0%,48,70%,0,0%
Olivier Vernon,DE,0,0%,47,68%,3,11%
Sheldon Richardson,DT,0,0%,41,59%,2,7%
Devaroe Lawrence,DT,0,0%,29,42%,2,7%
Chris Smith,DE,0,0%,24,35%,1,4%
Daniel Ekuale,DT,0,0%,21,30%,4,14%
Chad Thomas,DE,0,0%,20,29%,2,7%
Juston Burris,CB,0,0%,10,14%,14,50%
Adarius Taylor,LB,0,0%,1,1%,17,61%
Tavierre Thomas,CB,0,0%,0,0%,21,75%
Sione Takitaki,LB,0,0%,0,0%,17,61%
Malik Jefferson,LB,0,0%,0,0%,17,61%
D'Ernest Johnson,RB,0,0%,0,0%,15,54%
Austin Seibert,K,0,0%,0,0%,14,50%
Robert Jackson,CB,0,0%,0,0%,10,36%
Jamie Gillan,P,0,0%,0,0%,9,32%
Charley Hughlett,LS,0,0%,0,0%,9,32%
Wyatt Teller,T,0,0%,0,0%,6,21%
Willie Harvey,LB,0,0%,0,0%,3,11%
