Quarter,Time,Tm,Detail,PHI,GNB
1.0,10:31,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),0,7
2.0,14:01,Packers,Mason Crosby 30 yard field goal,0,10
,11:48,Eagles,Alshon Jeffery 6 yard pass from Carson Wentz (Jake Elliott kick),7,10
,8:24,Packers,Mason Crosby 31 yard field goal,7,13
,2:45,Eagles,Dallas Goedert 3 yard pass from Carson Wentz (Jake Elliott kick),14,13
,0:59,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),21,13
,0:09,Packers,Geronimo Allison 19 yard pass from Aaron Rodgers (Mason Crosby kick),21,20
3.0,9:12,Eagles,Jordan Howard 20 yard pass from Carson Wentz (pass failed),27,20
,3:16,Packers,Jimmy Graham 14 yard pass from Aaron Rodgers (Mason Crosby kick),27,27
4.0,14:13,Eagles,Jordan Howard 2 yard rush (Jake Elliott kick),34,27
