Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,5,5,48,0,1,24,4.8,24,4.8,4.8,0,,0,0.0,0,106.7
Austin Ekeler,LAC,5,5,62,1,3,6,1.2,56,11.2,1.2,0,,0,0.0,0,157.9
Dontrelle Inman,LAC,7,5,76,0,5,56,11.2,20,4.0,11.3,0,,1,14.3,0,106.8
Geremy Davis,LAC,2,2,25,0,,23,11.5,2,1.0,11.5,0,,0,0.0,0,118.7
Troymaine Pope,LAC,2,2,14,1,1,3,1.5,11,5.5,1.5,0,,0,0.0,0,135.4
Andre Patton,LAC,4,2,22,0,2,12,6.0,10,5.0,12.3,0,,0,0.0,0,66.7
Lance Kendricks,LAC,3,2,37,0,2,30,15.0,7,3.5,11.0,0,,0,0.0,0,109.0
Sean Culkin,LAC,1,1,12,0,1,12,12.0,0,0.0,12.0,0,,0,0.0,0,116.7
Derek Watt,LAC,1,1,21,0,1,0,0.0,21,21.0,0.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Preston Williams,MIA,7,4,46,0,2,13,3.3,33,8.3,9.7,0,,1,14.3,1,37.5
DeVante Parker,MIA,4,4,70,1,3,54,13.5,16,4.0,13.5,0,,0,0.0,0,158.3
Kenyan Drake,MIA,5,3,29,0,1,-13,-4.3,42,14.0,-0.6,0,,0,0.0,0,76.2
Isaiah Ford,MIA,3,2,9,0,1,3,1.5,6,3.0,2.0,0,,0,0.0,0,70.1
Mark Walton,MIA,2,2,11,0,0,2,1.0,9,4.5,1.0,0,,0,0.0,0,89.6
Nick O'Leary,MIA,1,1,9,0,,7,7.0,2,2.0,7.0,0,,0,0.0,0,104.2
Jakeem Grant,MIA,1,1,6,0,1,-3,-3.0,9,9.0,-3.0,0,,0,0.0,0,91.7
Kalen Ballage,MIA,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
