Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Denzelle Good,G,72,100%,0,0%,4,14%
Kolton Miller,T,72,100%,0,0%,4,14%
Richie Incognito,G,72,100%,0,0%,4,14%
Trent Brown,T,72,100%,0,0%,4,14%
Derek Carr,QB,72,100%,0,0%,0,0%
Rodney Hudson,C,72,100%,0,0%,0,0%
Darren Waller,TE,56,78%,0,0%,0,0%
Trevor Davis,WR,54,75%,0,0%,7,25%
Josh Jacobs,RB,49,68%,0,0%,0,0%
Foster Moreau,TE,44,61%,0,0%,17,61%
Hunter Renfrow,WR,42,58%,0,0%,3,11%
Keelan Doss,WR,39,54%,0,0%,0,0%
Marcell Ateman,WR,28,39%,0,0%,0,0%
Alec Ingold,FB,16,22%,0,0%,13,46%
DeAndre Washington,RB,13,18%,0,0%,4,14%
Jalen Richard,RB,11,15%,0,0%,0,0%
Derek Carrier,TE,5,7%,0,0%,22,79%
David Sharpe,T,3,4%,0,0%,4,14%
Erik Harris,SS,0,0%,56,100%,19,68%
Karl Joseph,SS,0,0%,56,100%,8,29%
Tahir Whitehead,LB,0,0%,56,100%,6,21%
Gareon Conley,CB,0,0%,56,100%,3,11%
Lamarcus Joyner,FS,0,0%,56,100%,0,0%
Maxx Crosby,DE,0,0%,55,98%,15,54%
Nicholas Morrow,LB,0,0%,54,96%,13,46%
Daryl Worley,CB,0,0%,54,96%,8,29%
Benson Mayowa,DE,0,0%,30,54%,3,11%
Johnathan Hankins,DT,0,0%,29,52%,3,11%
Maurice Hurst Jr.,DT,0,0%,28,50%,6,21%
Josh Mauro,DE,0,0%,26,46%,0,0%
P.J. Hall,DT,0,0%,24,43%,0,0%
Arden Key,DE,0,0%,21,38%,6,21%
Corey Liuget,DT,0,0%,8,14%,0,0%
Trayvon Mullen,CB,0,0%,7,13%,6,21%
Kyle Wilber,LB,0,0%,0,0%,24,86%
Keisean Nixon,CB,0,0%,0,0%,21,75%
Curtis Riley,FS,0,0%,0,0%,17,61%
Dallin Leavitt,SS,0,0%,0,0%,14,50%
Trent Sieg,LS,0,0%,0,0%,10,36%
AJ Cole III,P,0,0%,0,0%,10,36%
Justin Phillips,LB,0,0%,0,0%,9,32%
Daniel Carlson,K,0,0%,0,0%,9,32%
Dakota Allen,LB,0,0%,0,0%,8,29%
Andre James,T,0,0%,0,0%,4,14%
