Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,21,39,235,0,1,2,18,29,61.4,1,2,1,2,0,0,0,0,0,0,0
Alex Erickson,CIN,0,0,0,0,0,0,0,0,,1,17,0,17,6,4,47,0,21,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,8,10,0,3,3,2,29,0,23,0,0
Giovani Bernard,CIN,0,0,0,0,0,0,0,0,,4,4,0,2,3,2,20,0,14,0,0
Auden Tate,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,91,0,29,0,0
C.J. Uzomah,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,26,0,22,0,0
Tyler Eifert,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,7,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,10,0,5,0,0
Damion Willis,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Drew Sample,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Lamar Jackson,BAL,21,33,236,0,0,1,8,39,84.9,19,152,1,36,0,0,0,0,0,0,0
Mark Ingram,BAL,0,0,0,0,0,0,0,0,,13,52,1,12,2,2,22,0,11,0,0
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,6,34,0,25,0,0,0,0,0,0,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,5,31,0,12,0,0,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,99,0,39,1,1
Miles Boykin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,18,0,0
Seth Roberts,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,23,0,16,0,0
Chris Moore,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,13,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,18,0,10,0,0
Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,18,0,9,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Hayden Hurst,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
