Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Troy Hill,LAR,0,7,4,57.1%,39,9.8,5.6,0,72.9,10.9,36,3,1,0,1,0.0,1,4,0,0.0%
Nickell Robey-Coleman,LAR,0,3,3,100.0%,23,7.7,7.7,0,98.6,6.0,18,5,0,0,0,0.0,0,1,1,50.0%
Jalen Ramsey,LAR,0,6,3,50.0%,69,23.0,11.5,0,91.7,20.3,61,8,0,0,0,0.0,0,4,0,0.0%
Cory Littleton,LAR,1,3,2,66.7%,4,2.0,1.3,0,30.6,-2.0,-2,6,8,0,0,1.0,1,3,0,0.0%
Taylor Rapp,LAR,0,3,2,66.7%,17,8.5,5.7,0,81.2,4.0,16,1,5,0,0,0.0,0,6,0,0.0%
Troy Reeder,LAR,0,2,2,100.0%,15,7.5,7.5,1,137.5,7.0,14,1,0,0,0,0.0,0,6,0,0.0%
Ogbonnia Okoronkwo,LAR,0,1,1,100.0%,12,12.0,12.0,0,116.7,4.0,4,8,0,0,1,0.0,1,2,0,0.0%
Marqui Christian,LAR,0,3,1,33.3%,3,3.0,1.0,0,42.4,0.0,0,3,3,0,0,0.0,0,5,0,0.0%
Travin Howard,LAR,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,0,0,0,0.0,0,3,0,0.0%
Eric Weddle,LAR,0,1,1,100.0%,4,4.0,4.0,0,83.3,1.0,1,3,0,0,0,0.0,0,2,0,0.0%
Darious Williams,LAR,0,1,1,100.0%,15,15.0,15.0,0,118.7,13.0,13,2,0,0,0,0.0,0,2,0,0.0%
David Long,LAR,0,1,1,100.0%,19,19.0,19.0,0,118.7,14.0,14,5,0,0,0,0.0,0,1,0,0.0%
Dante Fowler,LAR,0,0,0,,,,,,,,,,1,3,1,3.0,7,7,1,12.5%
Aaron Donald,LAR,0,0,0,,,,,,,,,,0,2,0,1.0,3,2,0,0.0%
Samson Ebukam,LAR,0,1,0,0.0%,,,0.0,,39.6,0.0,,,5,0,1,0.0,1,2,0,0.0%
Morgan Fox,LAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Michael Brockers,LAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Natrez Patrick,LAR,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Damontae Kazee,ATL,0,6,4,66.7%,30,7.5,5.0,0,78.5,3.3,1,29,3,0,0,0.0,0,8,1,11.1%
Isaiah Oliver,ATL,0,5,3,60.0%,41,13.7,8.2,1,125.8,16.4,24,17,0,0,0,0.0,0,4,0,0.0%
Kendall Sheffield,ATL,0,3,2,66.7%,30,15.0,10.0,0,99.3,10.3,12,18,0,0,0,0.0,0,4,1,20.0%
Blidi Wreh-Wilson,ATL,0,3,2,66.7%,37,18.5,12.3,0,109.0,11.3,29,8,0,0,0,0.0,0,8,0,0.0%
Deion Jones,ATL,0,4,2,50.0%,10,5.0,2.5,0,56.2,10.8,4,6,5,0,0,0.0,0,11,1,8.3%
Ricardo Allen,ATL,0,4,2,50.0%,39,19.5,9.8,0,84.4,9.8,15,24,1,0,0,0.0,0,4,0,0.0%
Jamal Carter,ATL,0,6,2,33.3%,42,21.0,7.0,0,59.0,13.5,23,19,1,0,0,0.0,0,3,0,0.0%
De'Vondre Campbell,ATL,0,2,2,100.0%,13,6.5,6.5,0,93.7,3.0,6,7,9,0,0,0.0,0,6,0,0.0%
Vic Beasley,ATL,0,2,2,100.0%,18,9.0,9.0,1,143.7,5.5,11,7,2,0,0,0.0,0,2,0,0.0%
Kemal Ishmael,ATL,0,2,1,50.0%,8,8.0,4.0,0,60.4,13.0,5,3,2,0,0,0.0,0,7,0,0.0%
Takkarist McKinley,ATL,0,0,0,,,,,,,,,,0,0,2,0.0,2,1,1,50.0%
Grady Jarrett,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,1,20.0%
Allen Bailey,ATL,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,2,66.7%
