Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Demaryius Thomas,NYJ,5,5,63,0,4,58,11.6,5,1.0,11.6,0,,0,0.0,0,118.7
Robbie Chosen,NYJ,6,4,43,0,1,12,3.0,31,7.8,5.2,0,,0,0.0,2,47.9
Ryan Griffin,NYJ,4,4,66,2,4,35,8.8,31,7.8,8.8,0,,0,0.0,0,158.3
Le'Veon Bell,NYJ,5,3,12,0,,-7,-2.3,19,6.3,-0.6,0,,1,20.0,0,64.6
Jamison Crowder,NYJ,5,3,24,0,1,10,3.3,14,4.7,7.8,0,,0,0.0,0,72.1
Vyncint Smith,NYJ,4,2,10,0,1,9,4.5,1,0.5,18.3,0,,0,0.0,1,16.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Leonard Fournette,JAX,7,7,60,0,3,3,0.4,57,8.1,0.4,0,,0,0.0,0,102.4
DJ Chark,JAX,12,6,79,1,5,54,9.0,25,4.2,8.2,0,,1,8.3,0,99.0
Chris Conley,JAX,7,4,103,1,3,58,14.5,45,11.3,11.3,0,,1,14.3,0,141.4
Keelan Cole,JAX,2,2,12,1,1,8,4.0,4,2.0,4.0,0,,0,0.0,0,131.2
Seth Devalve,JAX,1,1,11,0,1,6,6.0,5,5.0,6.0,0,,0,0.0,0,112.5
Marqise Lee,JAX,1,1,8,0,,4,4.0,4,4.0,4.0,0,,0,0.0,0,100.0
Josh Oliver,JAX,2,1,6,0,,6,6.0,0,0.0,8.0,0,,1,50.0,0,56.2
Dede Westbrook,JAX,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6
