Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Casey Hayward,LAC,0,17,10,58.8%,93,9.3,5.5,0,73.9,10.5,58,35,0,0,0,0.0,0,12,2,14.3%
Kenneth Murray,LAC,0,4,4,100.0%,36,9.0,9.0,0,104.2,4.0,16,20,2,0,0,0.0,0,8,1,11.1%
Nick Vigil,LAC,0,3,3,100.0%,15,5.0,5.0,0,87.5,1.3,4,11,3,0,0,0.0,0,5,0,0.0%
Uchenna Nwosu,LAC,0,1,1,100.0%,12,12.0,12.0,0,116.7,12.0,12,0,2,0,0,1.0,1,4,0,0.0%
Drue Tranquill,LAC,0,1,1,100.0%,7,7.0,7.0,0,95.8,0.0,0,7,1,0,0,0.0,0,1,0,0.0%
Desmond King,LAC,0,2,1,50.0%,4,4.0,2.0,0,56.2,-1.0,1,3,2,0,0,0.0,0,4,0,0.0%
Michael Davis,LAC,0,1,1,100.0%,2,2.0,2.0,0,79.2,-1.0,-1,3,0,0,0,0.0,0,1,0,0.0%
Rayshawn Jenkins,LAC,0,4,1,25.0%,10,10.0,2.5,0,39.6,22.5,8,2,0,0,0,0.0,0,2,0,0.0%
Chris Harris Jr.,LAC,0,2,1,50.0%,14,14.0,7.0,0,72.9,11.0,12,2,3,0,0,0.0,0,3,0,0.0%
Joey Bosa,LAC,0,0,0,,,,,,,,,,0,3,2,1.0,6,5,1,16.7%
Jerry Tillery,LAC,0,0,0,,,,,,,,,,0,0,1,1.0,2,2,0,0.0%
Linval Joseph,LAC,0,0,0,,,,,,,,,,0,2,0,0.0,2,4,0,0.0%
Nasir Adderley,LAC,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Melvin Ingram,LAC,1,1,0,0.0%,,,0.0,,0.0,-1.0,,,2,0,0,0.0,0,2,0,0.0%
Damion Square,LAC,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
William Jackson III,CIN,0,9,5,55.6%,42,8.4,4.7,0,67.8,8.3,18,24,0,0,0,0.0,0,4,0,0.0%
Germaine Pratt,CIN,0,4,3,75.0%,20,6.7,5.0,0,85.4,4.5,-1,21,1,0,0,0.0,0,12,1,7.7%
Darius Phillips,CIN,0,6,2,33.3%,52,26.0,8.7,0,66.0,21.7,47,5,0,0,0,0.0,0,2,0,0.0%
Logan Wilson,CIN,0,2,2,100.0%,16,8.0,8.0,0,100.0,5.0,10,6,4,0,0,0.0,0,3,0,0.0%
Vonn Bell,CIN,0,2,2,100.0%,55,27.5,27.5,0,118.7,17.0,34,21,0,0,0,0.0,0,8,1,11.1%
Akeem Davis-Gaither,CIN,0,1,1,100.0%,16,16.0,16.0,0,118.7,14.0,14,2,5,0,1,0.0,1,3,0,0.0%
Jessie Bates III,CIN,0,3,1,33.3%,7,7.0,2.3,0,42.4,5.0,6,1,0,0,0,0.0,0,5,0,0.0%
Carl Lawson,CIN,0,0,0,,,,,,,,,,1,3,0,1.0,4,4,0,0.0%
Sam Hubbard,CIN,0,0,0,,,,,,,,,,0,2,0,0.0,2,9,1,10.0%
Carlos Dunlap,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,1,25.0%
Josh Bynes,CIN,0,1,0,0.0%,,,0.0,,39.6,5.0,,,1,0,0,1.0,1,8,1,11.1%
D.J. Reader,CIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%
Christian Covington,CIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Brandon Wilson,CIN,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,
Mackensie Alexander,CIN,0,2,0,0.0%,,,0.0,,39.6,23.0,,,0,0,0,0.0,0,0,0,
