Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jaylon Smith,DAL,0,6,5,83.3%,85,17.0,14.2,0,118.7,-2.7,-10,95,5,0,0,0.0,0,10,1,9.1%
Anthony Brown,DAL,0,7,4,57.1%,41,10.3,5.9,0,74.1,0.7,-1,42,1,0,0,0.0,0,6,0,0.0%
Trevon Diggs,DAL,0,4,3,75.0%,63,21.0,15.8,0,116.7,12.3,49,14,0,0,0,0.0,0,3,2,40.0%
Darian Thompson,DAL,0,4,3,75.0%,17,5.7,4.3,0,82.3,7.5,12,5,0,0,0,0.0,0,10,0,0.0%
Chidobe Awuzie,DAL,1,5,2,40.0%,20,10.0,4.0,0,12.5,5.2,7,13,0,0,0,0.0,0,2,0,0.0%
Xavier Woods,DAL,0,2,2,100.0%,34,17.0,17.0,0,118.7,8.5,17,17,0,0,0,0.0,0,9,0,0.0%
Daryl Worley,DAL,0,1,1,100.0%,15,15.0,15.0,0,118.7,6.0,6,9,1,0,0,0.0,0,2,0,0.0%
Aldon Smith,DAL,0,0,0,,,,,,,,,,3,1,1,1.0,3,11,1,8.3%
Joe Thomas,DAL,0,0,0,,,,,,,,,,3,0,1,0.0,1,5,0,0.0%
Trysten Hill,DAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,2,33.3%
Leighton Vander Esch,DAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,2,40.0%
DeMarcus Lawrence,DAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jalen Ramsey,LAR,0,11,8,72.7%,81,10.1,7.4,0,93.4,9.9,58,23,0,0,0,0.0,0,6,2,25.0%
Troy Hill,LAR,0,6,6,100.0%,80,13.3,13.3,0,118.7,8.2,49,31,0,0,0,0.0,0,5,0,0.0%
Jordan Fuller,LAR,0,5,4,80.0%,43,10.8,8.6,0,102.5,5.6,24,19,0,0,0,0.0,0,8,3,27.3%
Micah Kiser,LAR,0,6,3,50.0%,31,10.3,5.2,1,104.9,1.7,4,27,4,0,0,0.0,0,7,7,50.0%
Darious Williams,LAR,0,5,3,60.0%,27,9.0,5.4,0,74.6,11.4,21,6,0,0,0,0.0,0,4,0,0.0%
Kenny Young,LAR,0,1,1,100.0%,4,4.0,4.0,0,83.3,-4.0,-4,8,1,0,0,0.0,0,5,0,0.0%
Aaron Donald,LAR,0,0,0,,,,,,,,,,0,1,3,1.0,5,4,1,20.0%
Michael Brockers,LAR,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
Jachai Polite,LAR,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
Sebastian Joseph-Day,LAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Morgan Fox,LAR,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Leonard Floyd,LAR,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,1,20.0%
Taylor Rapp,LAR,0,1,0,0.0%,,,0.0,,39.6,2.0,,,0,0,0,0.0,0,2,0,0.0%
John Johnson,LAR,0,2,0,0.0%,,,0.0,,39.6,2.5,,,1,0,0,0.0,0,4,0,0.0%
Samson Ebukam,LAR,0,0,0,,,,,,,,,,2,0,0,0.0,0,4,1,20.0%
