Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Ty Sambrailo,T,65,100%,0,0%,4,16%
Nate Davis,OL,65,100%,0,0%,4,16%
Dennis Kelly,T,59,91%,0,0%,4,16%
Ryan Tannehill,QB,59,91%,0,0%,0,0%
Ben Jones,C,55,85%,0,0%,0,0%
A.J. Brown,WR,49,75%,0,0%,0,0%
Jonnu Smith,TE,47,72%,0,0%,0,0%
Corey Davis,WR,40,62%,0,0%,0,0%
Derrick Henry,RB,38,58%,0,0%,0,0%
Geoff Swaim,TE,36,55%,0,0%,17,68%
Jamil Douglas,G/C,36,55%,0,0%,4,16%
Rodger Saffold,G,33,51%,0,0%,2,8%
Cameron Batson,WR,24,37%,0,0%,6,24%
Anthony Firkser,TE,22,34%,0,0%,6,24%
Jeremy McNichols,RB,17,26%,0,0%,6,24%
Kalif Raymond,WR,16,25%,0,0%,7,28%
Khari Blasingame,FB/R,14,22%,0,0%,11,44%
Nick Westbrook-Ikhine,WR,9,14%,0,0%,6,24%
David Quessenberry,OL,9,14%,0,0%,4,16%
D'Onta Foreman,RB,9,14%,0,0%,0,0%
Aaron Brewer,C,7,11%,0,0%,0,0%
Logan Woodside,QB,6,9%,0,0%,0,0%
Breon Borders,CB,0,0%,70,100%,7,28%
Kevin Byard,S,0,0%,70,100%,0,0%
Malcolm Butler,CB,0,0%,67,96%,0,0%
Kenny Vaccaro,S,0,0%,66,94%,0,0%
Jayon Brown,LB,0,0%,65,93%,1,4%
Harold Landry,OLB,0,0%,64,91%,0,0%
Rashaan Evans,LB,0,0%,62,89%,0,0%
Jeffery Simmons,DT,0,0%,57,81%,8,32%
DaQuan Jones,DL,0,0%,55,79%,10,40%
Jadeveon Clowney,OLB,0,0%,52,74%,0,0%
Desmond King,CB,0,0%,48,69%,0,0%
Jack Crawford,DL,0,0%,32,46%,12,48%
Amani Hooker,DB,0,0%,18,26%,21,84%
Teair Tart,DT,0,0%,17,24%,6,24%
Derick Roberson,OLB,0,0%,11,16%,12,48%
Chris Jackson,DB,0,0%,8,11%,4,16%
David Long,LB,0,0%,5,7%,14,56%
Larrell Murchison,DL,0,0%,3,4%,0,0%
Nick Dzubnar,LB,0,0%,0,0%,21,84%
Daren Bates,LB,0,0%,0,0%,21,84%
Joshua Kalu,DB,0,0%,0,0%,20,80%
Christopher Milton,CB,0,0%,0,0%,15,60%
Stephen Gostkowski,K,0,0%,0,0%,8,32%
Matt Overton,LS,0,0%,0,0%,7,28%
Trevor Daniel,P,0,0%,0,0%,7,28%
