Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Austin Blythe,OL,72,100%,0,0%,6,20%
Austin Corbett,OL,72,100%,0,0%,6,20%
David Edwards,OL,72,100%,0,0%,6,20%
Rob Havenstein,OL,72,100%,0,0%,6,20%
Joseph Noteboom,OL,72,100%,0,0%,0,0%
Jared Goff,QB,72,100%,0,0%,0,0%
Robert Woods,WR,68,94%,0,0%,0,0%
Josh Reynolds,WR,65,90%,0,0%,0,0%
Tyler Higbee,TE,52,72%,0,0%,6,20%
Cooper Kupp,WR,52,72%,0,0%,0,0%
Gerald Everett,TE,41,57%,0,0%,0,0%
Darrell Henderson,RB,33,46%,0,0%,0,0%
Malcolm Brown,RB,27,38%,0,0%,0,0%
Cam Akers,RB,12,17%,0,0%,0,0%
Johnny Mundt,TE,6,8%,0,0%,21,70%
Van Jefferson,WR,4,6%,0,0%,5,17%
John Johnson,S,0,0%,69,100%,4,13%
Jordan Fuller,S,0,0%,69,100%,0,0%
Jalen Ramsey,CB,0,0%,69,100%,0,0%
Leonard Floyd,OLB,0,0%,63,91%,0,0%
Darious Williams,CB,0,0%,62,90%,5,17%
Troy Hill,CB,0,0%,62,90%,0,0%
Aaron Donald,DL,0,0%,62,90%,0,0%
Micah Kiser,ILB,0,0%,59,86%,3,10%
Michael Brockers,DL,0,0%,46,67%,4,13%
Justin Hollins,LB,0,0%,32,46%,15,50%
Samson Ebukam,OLB,0,0%,29,42%,15,50%
Sebastian Joseph-Day,DL,0,0%,28,41%,4,13%
Morgan Fox,DL,0,0%,22,32%,10,33%
Nick Scott,S,0,0%,21,30%,24,80%
Kenny Young,ILB,0,0%,20,29%,5,17%
A'Shawn Robinson,DL,0,0%,15,22%,4,13%
Terrell Lewis,OLB,0,0%,14,20%,0,0%
Greg Gaines,DL,0,0%,8,12%,9,30%
Troy Reeder,ILB,0,0%,6,9%,20,67%
David Long,CB,0,0%,3,4%,24,80%
Nsimba Webster,WR,0,0%,0,0%,20,67%
Xavier Jones,RB,0,0%,0,0%,19,63%
Juju Hughes,S,0,0%,0,0%,19,63%
J.R. Reed,DB,0,0%,0,0%,15,50%
Jake McQuaide,LS,0,0%,0,0%,11,37%
Johnny Hekker,P,0,0%,0,0%,11,37%
Matt Gay,K,0,0%,0,0%,11,37%
Jachai Polite,OLB,0,0%,0,0%,10,33%
Coleman Shelton,OL,0,0%,0,0%,6,20%
Tremayne Anchrum,OL,0,0%,0,0%,6,20%
