Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Dallas Goedert,PHI,7,5,66,0,3,52,10.4,14,2.8,9.1,0,,0,0.0,0,100.9
Greg Ward,PHI,5,3,57,1,2,47,15.7,10,3.3,12.2,0,,0,0.0,1,99.6
Zach Ertz,PHI,4,2,31,0,2,23,11.5,8,4.0,9.0,0,,0,0.0,0,76.0
Jalen Reagor,PHI,1,1,34,0,1,31,31.0,3,3.0,31.0,0,,0,0.0,0,118.7
John Hightower,PHI,2,0,0,0,,0,,0,,10.5,0,,0,0.0,0,39.6
Alshon Jeffery,PHI,1,0,0,0,,0,,0,,9.0,0,,0,0.0,0,39.6
Miles Sanders,PHI,1,0,0,0,0,0,,0,,1.0,0,,0,0.0,0,39.6
Boston Scott,PHI,2,0,0,0,,0,,0,,9.5,0,,0,0.0,0,39.6
Travis Fulgham,PHI,2,0,0,0,,0,,0,,13.5,0,,1,50.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Davante Adams,GNB,12,10,121,2,7,80,8.0,41,4.1,8.5,0,,0,0.0,0,148.3
Robert Tonyan,GNB,5,4,39,1,2,25,6.3,14,3.5,5.2,0,,0,0.0,0,138.7
Aaron Jones,GNB,3,3,18,0,1,-4,-1.3,22,7.3,-1.3,0,,0,0.0,0,91.7
Allen Lazard,GNB,4,3,50,0,2,45,15.0,5,1.7,14.0,0,,1,25.0,0,116.7
Jamaal Williams,GNB,2,2,10,0,0,3,1.5,7,3.5,1.5,0,,0,0.0,0,87.5
Marcedes Lewis,GNB,1,1,36,0,1,14,14.0,22,22.0,14.0,0,,0,0.0,0,118.7
Equanimeous St. Brown,GNB,2,1,7,0,,-3,-3.0,10,10.0,13.0,0,,0,0.0,0,58.3
Malik Taylor,GNB,1,1,14,0,1,2,2.0,12,12.0,2.0,0,,0,0.0,0,118.7
Marquez Valdes-Scantling,GNB,2,0,0,0,,0,,0,,46.5,0,,1,50.0,0,39.6
