Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ezekiel Elliott,DAL,12,48,0,3,22,1.8,26,2.2,0,
Tony Pollard,DAL,11,39,0,1,29,2.6,10,0.9,1,11.0
Andy Dalton,DAL,1,-1,0,0,-1,-1.0,0,0.0,0,
CeeDee Lamb,DAL,1,15,0,1,0,0.0,15,15.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Trayveon Williams,CIN,12,49,0,1,41,3.4,8,0.7,0,
Samaje Perine,CIN,10,32,0,2,23,2.3,9,0.9,1,10.0
Brandon Allen,CIN,4,12,0,2,11,2.8,1,0.3,0,
Giovani Bernard,CIN,3,8,0,,6,2.0,2,0.7,0,
Alex Erickson,CIN,1,0,0,0,0,0.0,0,0.0,0,
