Quarter,Time,Tm,Detail,KAN,MIA
1.0,1:35,Dolphins,Mike Gesicki 7 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7
2.0,10:14,Dolphins,Jason Sanders 31 yard field goal,0,10
,8:10,Chiefs,Tyreek Hill 32 yard rush (Harrison Butker kick),7,10
,0:37,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),14,10
3.0,13:50,Chiefs,Tyreek Hill 44 yard pass from Patrick Mahomes (Harrison Butker kick),21,10
,12:48,Chiefs,Mecole Hardman 67 yard punt return (Harrison Butker kick),28,10
,6:52,Chiefs,"Safety, Tua Tagovailoa sacked in end zone by Chris Jones",30,10
4.0,12:03,Dolphins,Mike Gesicki 29 yard pass from Tua Tagovailoa (Jason Sanders kick),30,17
,4:15,Dolphins,Tua Tagovailoa 1 yard rush (Jason Sanders kick),30,24
,1:08,Chiefs,Harrison Butker 46 yard field goal,33,24
,0:16,Dolphins,Jason Sanders 44 yard field goal,33,27
